TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.024474	0.015802	0.006687	0.047206	0.014450	0.006925	0.008977	0.012838	0.014150	0.008805	0.002557	0.009774	0.827354
None	0.010268	0.085622	0.008016	0.025584	0.009829	0.001501	0.000924	0.001223	0.001911	0.001662	0.004748	0.008120	0.840592
of	0.029624	0.029538	0.014547	0.029707	0.002841	0.000459	0.000310	0.000271	0.000172	0.000415	0.001886	0.027800	0.862430
it	0.028264	0.124505	0.013894	0.045636	0.024658	0.001363	0.001415	0.003128	0.002166	0.006728	0.002265	0.042244	0.703735
is	0.059831	0.062713	0.109489	0.024778	0.117524	0.013466	0.007018	0.034369	0.053478	0.013667	0.004043	0.090874	0.408751
di	0.011681	0.040930	0.029065	0.101747	0.027563	0.005133	0.007190	0.020954	0.027860	0.008432	0.001808	0.017039	0.700599
##v	0.002224	0.018821	0.005266	0.010314	0.011094	0.001100	0.002049	0.001717	0.000525	0.000866	0.002176	0.003967	0.939882
##vied	0.042172	0.040107	0.011321	0.074877	0.078360	0.006215	0.014384	0.006428	0.014949	0.006098	0.003717	0.059444	0.641928
up	0.043508	0.088886	0.022217	0.127433	0.060227	0.013494	0.002191	0.059766	0.038552	0.030271	0.014113	0.047027	0.452316
among	0.038836	0.174950	0.010364	0.156742	0.064514	0.042481	0.013922	0.032699	0.038542	0.016570	0.012874	0.032973	0.364534
anything	0.036374	0.294490	0.004666	0.043941	0.090351	0.058465	0.010979	0.031662	0.071236	0.033432	0.017065	0.019171	0.288168
.	0.037927	0.066451	0.010125	0.096173	0.202154	0.086718	0.036778	0.079869	0.067194	0.096528	0.074797	0.062198	0.083088
[SEP]	0.010471	0.004282	0.004743	0.005981	0.004361	0.002308	0.002713	0.001722	0.002253	0.004821	0.002101	0.009921	0.944322
