TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.009520	0.205617	0.046893	0.163788	0.086917	0.017911	0.010877	0.083746	0.063197	0.075729	0.086671	0.034233	0.114900
None	0.077762	0.179623	0.004582	0.047011	0.115139	0.008458	0.003635	0.012498	0.014414	0.007843	0.022922	0.010779	0.495333
of	0.137660	0.045920	0.022996	0.123742	0.025621	0.002877	0.009883	0.069439	0.009290	0.025103	0.016721	0.008038	0.502711
it	0.188930	0.057236	0.029863	0.143541	0.032878	0.005044	0.009691	0.051607	0.012351	0.025381	0.029660	0.025160	0.388657
is	0.124644	0.210752	0.005811	0.033175	0.140324	0.029412	0.006231	0.025766	0.033416	0.025074	0.070950	0.049275	0.245169
di	0.191662	0.132287	0.005927	0.045764	0.041630	0.015780	0.019041	0.031413	0.026289	0.039943	0.024839	0.025877	0.399550
##v	0.062748	0.015420	0.004942	0.018730	0.012161	0.012024	0.105409	0.043946	0.020562	0.050196	0.012866	0.004910	0.636086
##vied	0.075225	0.011798	0.005378	0.035633	0.004701	0.003609	0.018308	0.076942	0.014512	0.032089	0.011416	0.001327	0.709063
up	0.072065	0.039620	0.005262	0.041048	0.029324	0.010138	0.020877	0.042584	0.023327	0.048678	0.025541	0.006511	0.635026
among	0.028615	0.010574	0.002964	0.021205	0.012129	0.002149	0.003259	0.010140	0.006419	0.017959	0.011061	0.003196	0.870330
anything	0.130714	0.056595	0.008106	0.055995	0.057883	0.007083	0.004359	0.025022	0.011573	0.017383	0.045609	0.037454	0.542224
.	0.071675	0.163718	0.008938	0.045329	0.044330	0.011158	0.008440	0.008882	0.020579	0.010691	0.041295	0.095328	0.469637
[SEP]	0.010564	0.005423	0.001373	0.001611	0.019410	0.002117	0.005685	0.002809	0.002508	0.005541	0.003185	0.041239	0.898536
