TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.189139	0.015056	0.023028	0.026098	0.032801	0.009362	0.014137	0.073544	0.041966	0.037678	0.023507	0.110441	0.403243
None	0.042402	0.014117	0.204419	0.215269	0.386924	0.010247	0.004092	0.003511	0.003694	0.002264	0.016873	0.021636	0.074551
of	0.171953	0.022830	0.011870	0.103018	0.069164	0.017550	0.022428	0.012702	0.029487	0.016534	0.021240	0.038555	0.462668
it	0.125384	0.021138	0.038076	0.047972	0.112361	0.021808	0.033732	0.096570	0.063299	0.040910	0.022435	0.132254	0.244061
is	0.041709	0.008232	0.004681	0.017027	0.051141	0.007298	0.010559	0.570798	0.037417	0.066084	0.013059	0.098613	0.073381
di	0.209080	0.001827	0.003770	0.008052	0.006050	0.011836	0.136863	0.043325	0.034492	0.016046	0.012499	0.055269	0.460891
##v	0.187232	0.001355	0.001662	0.004615	0.001812	0.015126	0.030399	0.230071	0.005834	0.019807	0.011771	0.028730	0.461586
##vied	0.317702	0.001682	0.002352	0.009958	0.013312	0.004740	0.003401	0.007684	0.082427	0.104624	0.048375	0.079745	0.323998
up	0.114068	0.007105	0.004454	0.007552	0.010997	0.001848	0.001350	0.040478	0.021475	0.228315	0.087907	0.137826	0.336623
among	0.268190	0.007175	0.004859	0.015292	0.014341	0.001682	0.007380	0.006620	0.009457	0.031438	0.308614	0.112178	0.212774
anything	0.285161	0.002544	0.023577	0.007159	0.006457	0.006572	0.007461	0.015010	0.022223	0.074293	0.026777	0.185600	0.337165
.	0.175089	0.006617	0.008870	0.013122	0.008200	0.004797	0.009455	0.026526	0.026334	0.026127	0.045062	0.170899	0.478901
[SEP]	0.341763	0.002800	0.004917	0.002930	0.002132	0.001900	0.004426	0.002375	0.005060	0.006726	0.004412	0.026672	0.593886
