TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.013101	0.010220	0.004856	0.007929	0.004418	0.003135	0.003724	0.003329	0.002559	0.013712	0.013378	0.239754	0.679885
None	0.118622	0.003407	0.000304	0.009039	0.014612	0.000488	0.000032	0.000015	0.000054	0.000207	0.000063	0.015324	0.837834
of	0.003896	0.871744	0.013368	0.024651	0.000557	0.000029	0.000005	0.000003	0.000043	0.000018	0.000399	0.000321	0.084966
it	0.003926	0.025171	0.899332	0.006894	0.000344	0.000035	0.000006	0.000020	0.000045	0.000657	0.000020	0.000831	0.062719
is	0.004283	0.011941	0.002389	0.907306	0.012393	0.002145	0.000437	0.000113	0.001082	0.000118	0.000250	0.000314	0.057229
di	0.008484	0.002704	0.000140	0.011459	0.665095	0.010271	0.000669	0.010038	0.007126	0.002659	0.000290	0.001394	0.279671
##v	0.000028	0.000033	0.000002	0.000042	0.000415	0.984373	0.001068	0.000001	0.000026	0.000085	0.000012	0.000073	0.013842
##vied	0.040345	0.000536	0.000093	0.004091	0.557297	0.182848	0.127129	0.005468	0.003245	0.006435	0.000683	0.008148	0.063681
up	0.000027	0.000005	0.000000	0.000090	0.000613	0.000009	0.000023	0.992177	0.006416	0.000129	0.000117	0.000017	0.000377
among	0.001204	0.000949	0.000006	0.027947	0.043338	0.000217	0.000185	0.116205	0.477200	0.001980	0.007143	0.000805	0.322820
anything	0.000257	0.000024	0.000186	0.000176	0.000318	0.000059	0.000012	0.000157	0.000705	0.989497	0.000469	0.000883	0.007256
.	0.002321	0.000386	0.000136	0.000550	0.000652	0.000237	0.000086	0.000322	0.001072	0.006974	0.047317	0.060148	0.879799
[SEP]	0.003628	0.000457	0.000415	0.000459	0.000344	0.000082	0.000417	0.000058	0.000117	0.000279	0.000578	0.010419	0.982749
