TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.010945	0.176830	0.034540	0.088047	0.029711	0.034858	0.003620	0.003309	0.003384	0.021759	0.091226	0.111051	0.390719
None	0.069713	0.007149	0.007848	0.009708	0.002647	0.001287	0.000657	0.000222	0.000236	0.001311	0.001951	0.003937	0.893334
of	0.001531	0.713605	0.032692	0.014727	0.000365	0.000244	0.000174	0.000185	0.000320	0.000475	0.001939	0.001870	0.231874
it	0.015706	0.073643	0.230605	0.012479	0.000986	0.000107	0.000087	0.000147	0.000026	0.007938	0.000644	0.004058	0.653576
is	0.009434	0.142802	0.035249	0.540406	0.031636	0.006830	0.003248	0.002631	0.017602	0.003819	0.006250	0.001010	0.199083
di	0.039907	0.045382	0.024853	0.502630	0.146060	0.032002	0.000450	0.007181	0.056692	0.030394	0.027654	0.002103	0.084693
##v	0.000314	0.003474	0.001080	0.003417	0.000828	0.906966	0.000623	0.000016	0.000378	0.000306	0.000957	0.000186	0.081455
##vied	0.008449	0.050374	0.005998	0.098684	0.085346	0.141993	0.043978	0.010714	0.009339	0.004200	0.002505	0.004760	0.533659
up	0.003372	0.008333	0.002406	0.107777	0.016819	0.011948	0.004474	0.587716	0.018152	0.017110	0.001561	0.003895	0.216435
among	0.001125	0.001950	0.000504	0.077962	0.005988	0.012872	0.003380	0.110068	0.688215	0.005158	0.004512	0.004660	0.083607
anything	0.004108	0.000790	0.004545	0.008544	0.001858	0.001824	0.000395	0.003024	0.001442	0.471254	0.034948	0.004904	0.462364
.	0.008300	0.008032	0.001299	0.016816	0.003030	0.002205	0.000761	0.005399	0.004882	0.024719	0.322455	0.114504	0.487597
[SEP]	0.002430	0.004100	0.001818	0.001648	0.002910	0.008506	0.009154	0.001659	0.001785	0.003327	0.002681	0.014806	0.945177
