TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.009330	0.014793	0.002308	0.024626	0.051799	0.008022	0.000227	0.005878	0.031080	0.024620	0.014327	0.106178	0.706813
None	0.059487	0.021032	0.002932	0.015186	0.041828	0.032009	0.030740	0.007544	0.004249	0.003895	0.005088	0.057392	0.718618
of	0.016604	0.115817	0.090019	0.064852	0.010081	0.008207	0.001370	0.024136	0.004117	0.017815	0.033134	0.001868	0.611981
it	0.028401	0.016779	0.399222	0.053641	0.008530	0.002985	0.002188	0.035830	0.002409	0.082630	0.028904	0.002247	0.336233
is	0.028998	0.043109	0.012493	0.088842	0.058139	0.030879	0.008360	0.046317	0.027517	0.011208	0.094398	0.017399	0.532343
di	0.015952	0.012299	0.003986	0.037187	0.075918	0.088743	0.004603	0.016365	0.021419	0.024869	0.043437	0.013822	0.641400
##v	0.002826	0.004760	0.000385	0.002466	0.013696	0.633336	0.004510	0.000531	0.006210	0.000786	0.000898	0.005021	0.324574
##vied	0.001782	0.001015	0.000378	0.001253	0.003657	0.060797	0.885221	0.006704	0.001683	0.000956	0.000884	0.000632	0.035039
up	0.002634	0.002190	0.001384	0.004976	0.007324	0.009463	0.002670	0.601163	0.069962	0.013179	0.003748	0.001311	0.279998
among	0.009241	0.016088	0.004854	0.035528	0.019234	0.026290	0.011042	0.099923	0.305815	0.023821	0.019301	0.004339	0.424526
anything	0.004810	0.002646	0.043366	0.007038	0.007090	0.004585	0.000128	0.002564	0.003119	0.613139	0.018492	0.001673	0.291349
.	0.021443	0.016997	0.010611	0.074165	0.030688	0.012699	0.008246	0.087346	0.058321	0.052094	0.095646	0.029228	0.502517
[SEP]	0.043519	0.007121	0.003392	0.012359	0.014898	0.003820	0.004106	0.007305	0.007477	0.005828	0.008438	0.089728	0.792009
