TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.006832	0.249809	0.049699	0.039041	0.150584	0.060417	0.004314	0.044080	0.027038	0.018048	0.028433	0.102248	0.219458
None	0.057069	0.159756	0.057803	0.018774	0.016610	0.004794	0.000627	0.003557	0.007810	0.053663	0.157123	0.007802	0.454612
of	0.046852	0.025498	0.325670	0.143806	0.007845	0.004097	0.000066	0.014879	0.018456	0.042841	0.082749	0.010027	0.277213
it	0.037797	0.045528	0.164199	0.183880	0.029075	0.006944	0.000524	0.038929	0.024462	0.018020	0.052643	0.009770	0.388227
is	0.039797	0.018961	0.011080	0.028395	0.284131	0.032697	0.000998	0.017202	0.018636	0.015854	0.019310	0.025939	0.487000
di	0.062104	0.020187	0.008573	0.012201	0.074748	0.275974	0.007893	0.028643	0.014426	0.013316	0.016265	0.022750	0.442921
##v	0.016836	0.001422	0.000499	0.000393	0.001587	0.003462	0.011207	0.002465	0.001146	0.000500	0.001410	0.007227	0.951846
##vied	0.057603	0.006041	0.038236	0.089924	0.015819	0.016504	0.000651	0.062726	0.063775	0.025593	0.032901	0.012627	0.577599
up	0.049794	0.005930	0.020444	0.127753	0.011666	0.006612	0.000820	0.114348	0.161633	0.094272	0.020308	0.010356	0.376063
among	0.015179	0.012254	0.028562	0.028186	0.003417	0.003549	0.000090	0.021050	0.046852	0.365834	0.131698	0.008129	0.335202
anything	0.056103	0.104681	0.044165	0.105720	0.007991	0.003959	0.000481	0.020029	0.019845	0.089639	0.143133	0.008059	0.396195
.	0.151967	0.008112	0.001875	0.010967	0.009811	0.000754	0.001315	0.002152	0.000762	0.007587	0.009319	0.013475	0.781902
[SEP]	0.015270	0.005070	0.001717	0.004840	0.005461	0.002746	0.001702	0.003551	0.003750	0.004071	0.009780	0.008976	0.933066
