TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.577846	0.009033	0.013774	0.010733	0.042884	0.014242	0.003970	0.010161	0.008266	0.006483	0.006742	0.226602	0.069264
None	0.000000	0.000002	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
of	0.000001	0.000001	0.000010	0.999972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000015
it	0.000000	0.000000	0.000000	0.000006	0.999991	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000001
is	0.000000	0.000000	0.000000	0.000000	0.000003	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001
di	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
##v	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.999999	0.000000	0.000000	0.000000	0.000000	0.000001
##vied	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.999979	0.000001	0.000000	0.000000	0.000010
up	0.000001	0.000000	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000019	0.999882	0.000004	0.000001	0.000063
among	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000014	0.999954	0.000006	0.000022
anything	0.000007	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000007	0.000024	0.999930	0.000030
.	0.044340	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.001858	0.953800
[SEP]	0.816218	0.001469	0.000289	0.000107	0.004434	0.003281	0.000474	0.000061	0.012308	0.016665	0.004716	0.071053	0.068926
