TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.136091	0.178007	0.053681	0.075039	0.064683	0.028584	0.019479	0.055204	0.046225	0.081491	0.047701	0.036486	0.177331
None	0.003812	0.011361	0.001573	0.002597	0.006015	0.003659	0.003016	0.002585	0.002884	0.011219	0.002797	0.004224	0.944258
of	0.010289	0.006561	0.004267	0.008104	0.009971	0.002726	0.006478	0.008597	0.002468	0.020489	0.007822	0.002780	0.909448
it	0.015550	0.008567	0.008289	0.017769	0.013729	0.004703	0.007958	0.008619	0.004106	0.028607	0.011133	0.003887	0.867081
is	0.007225	0.004201	0.001302	0.003312	0.007770	0.002669	0.005312	0.002755	0.002528	0.008294	0.002489	0.005709	0.946433
di	0.001835	0.002868	0.000229	0.000540	0.004676	0.002692	0.006602	0.001237	0.001193	0.004112	0.001757	0.001638	0.970622
##v	0.002654	0.002836	0.001288	0.001057	0.004381	0.004550	0.066226	0.008967	0.002994	0.008621	0.002776	0.001896	0.891754
##vied	0.007238	0.001961	0.001898	0.002476	0.007110	0.003468	0.018031	0.015990	0.006710	0.018719	0.004570	0.001671	0.910158
up	0.002823	0.002335	0.000796	0.001486	0.007534	0.003521	0.012817	0.006214	0.005101	0.021855	0.005060	0.001693	0.928766
among	0.006247	0.002819	0.003069	0.005213	0.009437	0.004106	0.009540	0.009016	0.006117	0.028428	0.005905	0.004057	0.906047
anything	0.016941	0.011947	0.004233	0.006241	0.016122	0.007384	0.010008	0.005845	0.004909	0.016772	0.026342	0.007526	0.865732
.	0.037077	0.038605	0.003604	0.009571	0.041836	0.009932	0.011929	0.002893	0.007416	0.015265	0.010326	0.028715	0.782831
[SEP]	0.076940	0.104158	0.064299	0.077245	0.081314	0.060502	0.058790	0.068021	0.067407	0.063868	0.063350	0.102659	0.111446
