TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.546364	0.013311	0.021338	0.015703	0.042612	0.014476	0.010229	0.017409	0.016476	0.019410	0.035718	0.072441	0.174511
None	0.656911	0.001200	0.003001	0.007406	0.034129	0.000724	0.000444	0.007148	0.002856	0.038231	0.007434	0.050576	0.189941
of	0.806622	0.002561	0.001481	0.004623	0.013000	0.000713	0.001783	0.003900	0.001396	0.002768	0.007135	0.020755	0.133263
it	0.332827	0.019385	0.039004	0.050780	0.067996	0.001181	0.003975	0.053634	0.126219	0.050695	0.069148	0.105281	0.079875
is	0.501319	0.015720	0.012231	0.034265	0.044651	0.005255	0.003486	0.123085	0.029321	0.012258	0.044846	0.072892	0.100668
di	0.668481	0.002828	0.001392	0.005724	0.008198	0.000667	0.000675	0.002833	0.000565	0.001886	0.005635	0.020126	0.280990
##v	0.751422	0.001279	0.001850	0.004243	0.011980	0.003019	0.001176	0.000576	0.000557	0.000182	0.008122	0.025750	0.189844
##vied	0.391596	0.011911	0.021572	0.036012	0.012660	0.013186	0.006134	0.000711	0.004965	0.022969	0.012102	0.046083	0.420098
up	0.555802	0.026947	0.018761	0.011012	0.031959	0.004251	0.003600	0.030873	0.006621	0.084448	0.035893	0.046554	0.143278
among	0.623923	0.004315	0.006181	0.009819	0.031075	0.000711	0.001973	0.037090	0.015401	0.041162	0.023650	0.040401	0.164299
anything	0.378966	0.015782	0.019222	0.024343	0.037095	0.005159	0.015254	0.061261	0.144541	0.091925	0.017644	0.054032	0.134779
.	0.717042	0.009037	0.006903	0.010162	0.024275	0.005659	0.010154	0.006076	0.005887	0.004427	0.007457	0.036990	0.155930
[SEP]	0.785885	0.002885	0.004937	0.004625	0.016942	0.005932	0.004620	0.003901	0.004335	0.006435	0.009704	0.040014	0.109785
