TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.661811	0.003559	0.021739	0.016111	0.016674	0.002007	0.003544	0.001773	0.002749	0.002476	0.002985	0.091781	0.172790
None	0.096611	0.056841	0.038001	0.314028	0.122306	0.006707	0.021183	0.032503	0.011137	0.008926	0.126779	0.032907	0.132072
of	0.485447	0.023192	0.031758	0.051697	0.055772	0.010769	0.009887	0.012419	0.008760	0.012459	0.017784	0.060773	0.219281
it	0.085939	0.051991	0.051550	0.048226	0.072965	0.009030	0.010832	0.268095	0.056611	0.061044	0.107971	0.018427	0.157320
is	0.175423	0.095960	0.039085	0.154661	0.019593	0.004112	0.003028	0.062387	0.052358	0.017719	0.111747	0.038270	0.225659
di	0.300406	0.031833	0.022416	0.063082	0.049841	0.010749	0.041446	0.192186	0.022770	0.010366	0.047924	0.046806	0.160174
##v	0.329245	0.009474	0.045325	0.021731	0.026767	0.179178	0.033290	0.070988	0.010862	0.014093	0.008041	0.087475	0.163530
##vied	0.322521	0.057833	0.095118	0.071603	0.077643	0.015981	0.014079	0.031317	0.042379	0.059293	0.041874	0.097923	0.072436
up	0.162669	0.024850	0.058932	0.017664	0.017354	0.015196	0.068852	0.115063	0.019225	0.263445	0.009201	0.019103	0.208447
among	0.425361	0.045478	0.035130	0.045163	0.047527	0.006953	0.036819	0.013169	0.015597	0.005456	0.030929	0.086488	0.205930
anything	0.088942	0.109968	0.075587	0.056321	0.083300	0.016167	0.013858	0.071838	0.054333	0.230172	0.047047	0.066762	0.085704
.	0.077248	0.005000	0.031793	0.101640	0.193479	0.005503	0.001547	0.001059	0.006977	0.006882	0.004693	0.378206	0.185972
[SEP]	0.428591	0.002023	0.045541	0.017781	0.027993	0.001626	0.002073	0.000381	0.002188	0.001967	0.002950	0.374621	0.092266
