TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.774119	0.012804	0.016554	0.006597	0.014408	0.029186	0.011087	0.009512	0.007068	0.008607	0.006143	0.025600	0.078315
None	0.974382	0.011123	0.006697	0.002074	0.004049	0.000102	0.000001	0.000011	0.000011	0.000006	0.000002	0.000021	0.001521
of	0.097439	0.890149	0.004228	0.001137	0.001467	0.004391	0.000941	0.000002	0.000051	0.000027	0.000043	0.000001	0.000123
it	0.014567	0.002100	0.977467	0.002061	0.000766	0.000351	0.002483	0.000172	0.000000	0.000003	0.000024	0.000004	0.000000
is	0.024348	0.000556	0.002523	0.956364	0.006553	0.000564	0.000290	0.008687	0.000055	0.000000	0.000018	0.000025	0.000016
di	0.337960	0.000400	0.000071	0.001875	0.648688	0.007105	0.000441	0.001691	0.001423	0.000043	0.000000	0.000052	0.000251
##v	0.002441	0.000110	0.000056	0.000052	0.000800	0.995756	0.000361	0.000042	0.000154	0.000219	0.000007	0.000000	0.000003
##vied	0.292566	0.000102	0.001562	0.001091	0.000397	0.007056	0.638157	0.025253	0.016555	0.000959	0.015078	0.001216	0.000008
up	0.014990	0.000000	0.000007	0.000101	0.000730	0.000119	0.001668	0.978157	0.002824	0.000334	0.000239	0.000786	0.000046
among	0.200356	0.000066	0.000000	0.000013	0.003115	0.002062	0.000178	0.017708	0.752744	0.005230	0.002700	0.004178	0.011649
anything	0.282993	0.000914	0.000193	0.000000	0.000787	0.016256	0.007058	0.009487	0.003330	0.642741	0.024083	0.004834	0.007324
.	0.457989	0.000051	0.000062	0.000006	0.000001	0.000103	0.009122	0.005668	0.000617	0.004443	0.494131	0.024609	0.003199
[SEP]	0.962850	0.000004	0.000008	0.000018	0.000021	0.000000	0.000002	0.000163	0.000090	0.000014	0.000222	0.031359	0.005248
