TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.065776	0.002652	0.005287	0.006928	0.004274	0.000911	0.000805	0.001204	0.000693	0.001603	0.024606	0.049134	0.836130
None	0.004676	0.091433	0.035517	0.067903	0.035065	0.023853	0.002979	0.060217	0.024167	0.088811	0.177157	0.162133	0.226088
of	0.018442	0.031591	0.039877	0.052817	0.080322	0.019785	0.004108	0.045567	0.051413	0.181312	0.272754	0.127559	0.074452
it	0.012276	0.035906	0.047279	0.093916	0.060378	0.017549	0.004955	0.042135	0.054008	0.186149	0.210340	0.080286	0.154824
is	0.009478	0.071005	0.060455	0.255757	0.012624	0.005313	0.001190	0.011321	0.003498	0.023675	0.189032	0.069713	0.286938
di	0.008584	0.040252	0.080154	0.145005	0.016307	0.016411	0.009595	0.024355	0.012822	0.027965	0.141939	0.092568	0.384044
##v	0.002454	0.006876	0.006142	0.005965	0.005802	0.002237	0.002348	0.004702	0.003997	0.009151	0.011651	0.005961	0.932712
##vied	0.027478	0.016294	0.008394	0.031424	0.019614	0.018036	0.003517	0.043093	0.015863	0.049980	0.040015	0.062945	0.663347
up	0.011951	0.085673	0.137438	0.112841	0.025506	0.022810	0.007521	0.052612	0.030693	0.025804	0.031897	0.061906	0.393347
among	0.003243	0.043742	0.121405	0.163247	0.009202	0.006346	0.001723	0.015020	0.010534	0.015158	0.038905	0.014691	0.556782
anything	0.021791	0.018961	0.043208	0.212600	0.012360	0.005428	0.002961	0.006658	0.005861	0.009853	0.064582	0.059205	0.536533
.	0.011618	0.014789	0.013692	0.139758	0.011177	0.005587	0.002208	0.010633	0.002558	0.005068	0.012329	0.027462	0.743122
[SEP]	0.016462	0.007670	0.004204	0.010603	0.009593	0.007684	0.007878	0.011362	0.007528	0.010669	0.010223	0.006695	0.889429
