TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.015013	0.022841	0.004496	0.030197	0.140651	0.030931	0.030904	0.014192	0.004073	0.012196	0.057295	0.128797	0.508415
None	0.032153	0.006197	0.001128	0.009479	0.084161	0.010704	0.005719	0.003019	0.001920	0.007051	0.010415	0.044479	0.783576
of	0.050291	0.009661	0.001315	0.015098	0.091642	0.044889	0.008279	0.009457	0.008422	0.009450	0.018115	0.098702	0.634679
it	0.039722	0.018459	0.003327	0.025060	0.360749	0.107403	0.009041	0.015397	0.011699	0.017842	0.039207	0.085509	0.266586
is	0.025391	0.020720	0.005119	0.020042	0.669757	0.046273	0.023934	0.004111	0.003859	0.010543	0.039031	0.078504	0.052716
di	0.027932	0.032032	0.011540	0.076752	0.182732	0.089380	0.017380	0.018821	0.011099	0.037961	0.049497	0.087098	0.357776
##v	0.012489	0.003330	0.001598	0.006858	0.012468	0.006332	0.004093	0.003234	0.003167	0.009423	0.004252	0.006344	0.926412
##vied	0.046693	0.003626	0.000726	0.003717	0.023881	0.009563	0.002512	0.002342	0.002442	0.006729	0.005794	0.021722	0.870253
up	0.037342	0.026327	0.004085	0.023389	0.185718	0.053873	0.010098	0.010631	0.009755	0.021640	0.039635	0.076541	0.500966
among	0.019611	0.002852	0.000620	0.003826	0.013956	0.004849	0.001068	0.001672	0.001450	0.003481	0.004879	0.009681	0.932055
anything	0.036261	0.022386	0.004349	0.042486	0.381313	0.056311	0.007916	0.011145	0.014924	0.027213	0.025536	0.078446	0.291714
.	0.123418	0.064625	0.012506	0.044273	0.259304	0.087753	0.035088	0.022901	0.013276	0.049538	0.052832	0.143264	0.091222
[SEP]	0.046740	0.002686	0.001818	0.004844	0.014044	0.002124	0.002223	0.004179	0.001699	0.005284	0.009068	0.003571	0.901720
