TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.020466	0.007003	0.010584	0.014311	0.022027	0.000688	0.001636	0.011596	0.002592	0.004974	0.009719	0.022356	0.872048
None	0.007576	0.008220	0.005828	0.052632	0.048739	0.006241	0.001243	0.057347	0.012811	0.059282	0.014209	0.019863	0.706009
of	0.015696	0.022653	0.006590	0.145873	0.025962	0.005535	0.001141	0.268331	0.031448	0.077459	0.019711	0.019547	0.360052
it	0.006653	0.033846	0.022955	0.053882	0.025413	0.002658	0.005250	0.163092	0.043846	0.259834	0.016958	0.023212	0.342399
is	0.008454	0.044169	0.009380	0.032285	0.035599	0.007040	0.002927	0.036464	0.012649	0.040215	0.026463	0.116419	0.627936
di	0.003701	0.031144	0.004856	0.021184	0.021086	0.007216	0.015504	0.187574	0.030077	0.116212	0.053430	0.007277	0.500740
##v	0.022711	0.031437	0.017806	0.039436	0.021138	0.018878	0.008464	0.060325	0.026217	0.077451	0.024722	0.032035	0.619380
##vied	0.009735	0.023504	0.032039	0.081441	0.020168	0.007631	0.027918	0.122340	0.089298	0.167698	0.014189	0.006124	0.397915
up	0.002847	0.027178	0.013102	0.038045	0.013752	0.004536	0.014256	0.610113	0.035991	0.103894	0.030001	0.003117	0.103169
among	0.006046	0.005717	0.004793	0.030727	0.019773	0.010534	0.001216	0.118943	0.037430	0.029055	0.109662	0.006913	0.619191
anything	0.004968	0.007939	0.003448	0.006228	0.030023	0.007792	0.003663	0.121305	0.016339	0.037430	0.011199	0.006619	0.743047
.	0.005274	0.036739	0.007127	0.022773	0.047108	0.005644	0.001368	0.022949	0.003835	0.003147	0.014478	0.053887	0.775669
[SEP]	0.020555	0.002581	0.001176	0.002930	0.002900	0.000798	0.000298	0.001837	0.000813	0.000834	0.003437	0.009585	0.952256
