TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.065144	0.015173	0.018092	0.047602	0.015095	0.005465	0.003554	0.081774	0.019997	0.084882	0.031754	0.018824	0.592645
None	0.016243	0.024748	0.032071	0.044625	0.088714	0.013200	0.018744	0.155687	0.030314	0.187447	0.080097	0.017925	0.290184
of	0.012520	0.023423	0.058053	0.068958	0.019386	0.004333	0.030066	0.267488	0.008276	0.227010	0.052821	0.007460	0.220206
it	0.016790	0.024515	0.032162	0.022911	0.013505	0.005902	0.026991	0.125216	0.007445	0.080928	0.037527	0.007451	0.598656
is	0.012166	0.015744	0.012699	0.053384	0.019316	0.019612	0.033097	0.166844	0.034346	0.145225	0.071417	0.011629	0.404522
di	0.006394	0.007784	0.018064	0.070877	0.016559	0.009286	0.018919	0.186524	0.047667	0.254616	0.076079	0.006001	0.281232
##v	0.002934	0.002125	0.009845	0.014926	0.004278	0.001194	0.002872	0.022561	0.004593	0.066092	0.048588	0.001790	0.818203
##vied	0.004556	0.007212	0.022699	0.027119	0.006328	0.003455	0.025054	0.068908	0.005194	0.065306	0.039362	0.003231	0.721578
up	0.006584	0.006290	0.022125	0.025506	0.013328	0.010026	0.020801	0.111160	0.009149	0.136587	0.058010	0.004223	0.576210
among	0.005777	0.005839	0.004165	0.010705	0.018424	0.017636	0.010393	0.053353	0.015635	0.061461	0.050927	0.007673	0.738012
anything	0.007875	0.006058	0.024259	0.036778	0.017665	0.012092	0.020172	0.263384	0.022790	0.112356	0.048345	0.011568	0.416657
.	0.015225	0.032820	0.024931	0.042244	0.044704	0.016767	0.007774	0.089862	0.027775	0.088431	0.130791	0.013225	0.465453
[SEP]	0.008207	0.003653	0.005455	0.004150	0.004625	0.003120	0.005050	0.004707	0.002875	0.005143	0.007156	0.006281	0.939578
