TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.014920	0.107906	0.015238	0.068328	0.133188	0.046099	0.011843	0.031376	0.082895	0.056864	0.056901	0.259578	0.114863
None	0.054918	0.134634	0.009591	0.021103	0.049273	0.030469	0.006637	0.014284	0.037507	0.035447	0.011863	0.364112	0.230162
of	0.032490	0.133136	0.083856	0.122467	0.034339	0.031116	0.012323	0.055436	0.053698	0.083744	0.015538	0.088286	0.253571
it	0.041096	0.163771	0.050796	0.166566	0.072036	0.029921	0.008796	0.048751	0.064681	0.040328	0.014404	0.126390	0.172463
is	0.092447	0.069401	0.004124	0.014069	0.122032	0.027654	0.003371	0.008691	0.016449	0.006755	0.016812	0.360085	0.258110
di	0.060324	0.050193	0.013117	0.039309	0.108144	0.072564	0.008544	0.010953	0.051661	0.015759	0.027179	0.107082	0.435170
##v	0.037947	0.012805	0.017803	0.015444	0.039694	0.025484	0.023603	0.021999	0.052076	0.027862	0.011002	0.030146	0.684134
##vied	0.049541	0.085536	0.036582	0.107507	0.081802	0.020586	0.019633	0.095166	0.071008	0.037282	0.051610	0.070861	0.272886
up	0.065784	0.060373	0.014885	0.049347	0.114733	0.067674	0.015499	0.016688	0.051464	0.019218	0.034228	0.139837	0.350272
among	0.067821	0.078703	0.054823	0.059424	0.077050	0.040330	0.029283	0.045570	0.072411	0.029923	0.070231	0.044944	0.329487
anything	0.063214	0.205564	0.012407	0.030052	0.088920	0.047156	0.009579	0.019826	0.062225	0.032542	0.046155	0.159790	0.222570
.	0.062486	0.098895	0.008531	0.020939	0.060917	0.044260	0.013695	0.014103	0.030116	0.023685	0.017236	0.276615	0.328523
[SEP]	0.034017	0.036253	0.032273	0.035814	0.034920	0.025637	0.048122	0.027657	0.030801	0.057139	0.042419	0.032891	0.562058
