TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.029131	0.007771	0.004242	0.028525	0.023552	0.005668	0.014030	0.011774	0.006348	0.016253	0.023298	0.046656	0.782751
None	0.013197	0.006558	0.002634	0.025688	0.164674	0.040994	0.012175	0.121261	0.040824	0.153322	0.209061	0.166788	0.042824
of	0.010736	0.004980	0.000965	0.022510	0.293983	0.036241	0.002506	0.087901	0.099462	0.288390	0.035871	0.062944	0.053512
it	0.011036	0.006962	0.002494	0.012272	0.063337	0.025840	0.002937	0.083672	0.063923	0.568191	0.056472	0.056445	0.046419
is	0.055700	0.058372	0.017358	0.023008	0.015601	0.016447	0.010932	0.023346	0.023148	0.162044	0.179309	0.182281	0.232454
di	0.012917	0.022200	0.001538	0.007886	0.007767	0.005462	0.009756	0.015113	0.035118	0.073886	0.283697	0.225656	0.299005
##v	0.024536	0.021699	0.001201	0.007215	0.005496	0.006732	0.001638	0.024404	0.025368	0.063065	0.082059	0.184355	0.552233
##vied	0.014618	0.014383	0.003155	0.022830	0.020335	0.016764	0.005280	0.019211	0.062542	0.134465	0.219271	0.172403	0.294742
up	0.020406	0.059948	0.007248	0.045506	0.031035	0.016126	0.019909	0.015218	0.021040	0.093562	0.271363	0.141866	0.256773
among	0.025843	0.010565	0.003052	0.007756	0.011164	0.009495	0.002652	0.009147	0.015805	0.035363	0.133114	0.095293	0.640751
anything	0.014860	0.003980	0.000402	0.001730	0.005926	0.003265	0.007173	0.003157	0.001538	0.006709	0.010316	0.094771	0.846173
.	0.026956	0.005125	0.004025	0.012822	0.006017	0.004775	0.001942	0.005755	0.002730	0.006293	0.005691	0.051139	0.866730
[SEP]	0.016174	0.000769	0.000410	0.001274	0.002751	0.000877	0.000898	0.001697	0.004557	0.008422	0.003585	0.013339	0.945246
