TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.043537	0.012632	0.009613	0.020935	0.014526	0.004417	0.009990	0.046333	0.006323	0.015545	0.039096	0.057028	0.720024
None	0.114201	0.109470	0.029690	0.047834	0.074721	0.017317	0.011654	0.072464	0.034851	0.047496	0.130726	0.037402	0.272173
of	0.062593	0.058516	0.028742	0.068910	0.060925	0.013385	0.029742	0.143255	0.055052	0.227797	0.075300	0.018254	0.157529
it	0.031764	0.077145	0.020165	0.093697	0.078832	0.021336	0.023991	0.200078	0.084456	0.190614	0.053376	0.008877	0.115670
is	0.103234	0.082160	0.025858	0.067776	0.080851	0.029945	0.020293	0.073072	0.035731	0.033776	0.219838	0.037863	0.189603
di	0.211997	0.061870	0.021268	0.041748	0.038214	0.016387	0.005809	0.071786	0.034189	0.031002	0.098790	0.035675	0.331264
##v	0.068155	0.008322	0.004529	0.010209	0.004960	0.002231	0.001491	0.010768	0.006223	0.012067	0.004356	0.003247	0.863443
##vied	0.085628	0.029879	0.026079	0.059944	0.038318	0.007752	0.004968	0.063814	0.050652	0.089746	0.030147	0.008802	0.504272
up	0.131320	0.064571	0.032310	0.045244	0.038873	0.015060	0.010922	0.159164	0.056226	0.105070	0.049944	0.008291	0.283005
among	0.057595	0.038811	0.020206	0.032229	0.020234	0.006459	0.004625	0.026122	0.014634	0.012335	0.036772	0.005640	0.724337
anything	0.133330	0.021186	0.011871	0.037462	0.055990	0.017765	0.021287	0.061361	0.029133	0.010605	0.047674	0.031650	0.520685
.	0.076488	0.070648	0.017987	0.033390	0.061550	0.022708	0.013650	0.036389	0.018457	0.015277	0.049703	0.027940	0.555814
[SEP]	0.062816	0.002912	0.001283	0.003494	0.005839	0.001999	0.003442	0.002864	0.002700	0.006268	0.001371	0.003558	0.901455
