TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.077468	0.001837	0.000371	0.002109	0.007187	0.000352	0.005932	0.000429	0.000780	0.001844	0.003529	0.011150	0.887012
None	0.006127	0.006751	0.035021	0.164474	0.103317	0.002611	0.002382	0.007408	0.000488	0.000904	0.001478	0.001615	0.667423
of	0.002926	0.877914	0.002508	0.057170	0.011948	0.000448	0.000012	0.000627	0.000198	0.001923	0.001393	0.001835	0.041099
it	0.016697	0.030330	0.600533	0.009129	0.052577	0.010126	0.000696	0.001449	0.001623	0.013869	0.002984	0.019589	0.240398
is	0.048918	0.080623	0.021715	0.243312	0.018402	0.033178	0.002388	0.028390	0.005442	0.004799	0.003171	0.018346	0.491315
di	0.004043	0.000405	0.002210	0.000799	0.007515	0.167221	0.227166	0.505099	0.001131	0.002471	0.000845	0.001180	0.079915
##v	0.000981	0.000105	0.000039	0.000290	0.000236	0.937834	0.005416	0.006127	0.002343	0.000191	0.000077	0.000481	0.045880
##vied	0.002832	0.000229	0.000397	0.000816	0.000909	0.683087	0.102774	0.006050	0.004289	0.000607	0.003236	0.002357	0.192417
up	0.079876	0.000066	0.000128	0.004913	0.002452	0.000681	0.005086	0.855941	0.000749	0.002753	0.000064	0.004518	0.042773
among	0.042794	0.001910	0.000066	0.004707	0.014589	0.000843	0.014764	0.294027	0.052953	0.053808	0.034291	0.017974	0.467273
anything	0.098523	0.002018	0.000611	0.066066	0.028022	0.010295	0.000195	0.029960	0.003674	0.271924	0.023669	0.054161	0.410882
.	0.060355	0.004199	0.000972	0.004618	0.007159	0.002521	0.004701	0.000666	0.005341	0.009871	0.018991	0.123469	0.757137
[SEP]	0.029873	0.003309	0.000754	0.006358	0.020923	0.004636	0.009431	0.010411	0.004158	0.006413	0.004326	0.006494	0.892914
