TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.710863	0.001563	0.031316	0.001893	0.006714	0.003206	0.001667	0.002752	0.001174	0.004307	0.001020	0.089726	0.143799
None	0.708016	0.007604	0.040225	0.011544	0.018856	0.022817	0.030373	0.005950	0.014690	0.017193	0.005704	0.079858	0.037170
of	0.705138	0.014373	0.024273	0.018559	0.025327	0.009067	0.005493	0.028680	0.006287	0.002888	0.008148	0.052358	0.099410
it	0.653448	0.048561	0.021495	0.010392	0.045873	0.017056	0.003787	0.028292	0.008735	0.024875	0.028460	0.042860	0.066166
is	0.717727	0.055647	0.023431	0.020614	0.008013	0.005078	0.001825	0.024951	0.021546	0.019600	0.022699	0.025177	0.053693
di	0.661069	0.006356	0.112911	0.001744	0.014858	0.002388	0.007436	0.020532	0.000794	0.006607	0.009131	0.114171	0.042002
##v	0.208064	0.011966	0.140551	0.003081	0.036690	0.029536	0.058764	0.004472	0.000977	0.010949	0.003398	0.320007	0.171545
##vied	0.732533	0.004578	0.025092	0.003051	0.006534	0.027022	0.004485	0.000735	0.014026	0.010075	0.022995	0.087626	0.061250
up	0.655711	0.014030	0.023696	0.011511	0.027795	0.006962	0.008612	0.031984	0.001974	0.005816	0.008546	0.052137	0.151228
among	0.679632	0.001614	0.028543	0.016057	0.021112	0.006362	0.020037	0.033228	0.018422	0.003794	0.008416	0.054477	0.108306
anything	0.510941	0.032790	0.028532	0.019992	0.023397	0.038646	0.056797	0.037667	0.015829	0.050261	0.006293	0.103148	0.075705
.	0.580483	0.010845	0.072750	0.017470	0.023672	0.009990	0.004277	0.011138	0.007534	0.005374	0.008358	0.163245	0.084864
[SEP]	0.146286	0.010170	0.234945	0.039112	0.027180	0.003664	0.002948	0.007154	0.032064	0.004266	0.032810	0.429334	0.030067
