TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.232158	0.016223	0.019087	0.037173	0.027264	0.006870	0.007837	0.046116	0.015018	0.037249	0.032358	0.038029	0.484619
None	0.208153	0.002139	0.010175	0.278419	0.117144	0.006829	0.010689	0.022399	0.033376	0.005345	0.017615	0.056587	0.231129
of	0.287461	0.013039	0.028607	0.013112	0.018896	0.007327	0.010655	0.017047	0.033322	0.020522	0.014131	0.032713	0.503166
it	0.118786	0.157787	0.043069	0.009949	0.059749	0.025441	0.013414	0.145279	0.071492	0.060217	0.039673	0.079138	0.176007
is	0.026740	0.043468	0.047560	0.055789	0.137335	0.029173	0.038850	0.235063	0.060468	0.054681	0.065179	0.121080	0.084614
di	0.409533	0.010925	0.025451	0.018921	0.045688	0.003462	0.014741	0.022841	0.020000	0.010109	0.011946	0.033055	0.373328
##v	0.399197	0.025610	0.035596	0.018612	0.074449	0.018037	0.001857	0.016749	0.023157	0.017744	0.024404	0.048506	0.296080
##vied	0.388100	0.027776	0.033286	0.029224	0.114370	0.058418	0.014217	0.008588	0.048200	0.026866	0.061630	0.066733	0.122593
up	0.219116	0.081560	0.015476	0.027844	0.056310	0.010759	0.005706	0.039576	0.014918	0.019598	0.165639	0.073217	0.270281
among	0.305753	0.013884	0.018097	0.049705	0.061114	0.006317	0.010623	0.025870	0.063802	0.003713	0.123003	0.055362	0.262757
anything	0.215289	0.049046	0.027041	0.073258	0.104299	0.034204	0.012669	0.095609	0.028802	0.026267	0.005542	0.090261	0.237713
.	0.124249	0.031992	0.032801	0.064061	0.072649	0.022213	0.017343	0.029963	0.042348	0.057285	0.036249	0.110195	0.358652
[SEP]	0.582563	0.002698	0.006416	0.004395	0.002547	0.002188	0.004484	0.003626	0.006223	0.005612	0.002898	0.007070	0.369280
