TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.019660	0.004719	0.002682	0.015079	0.008733	0.001412	0.000098	0.041894	0.006023	0.022308	0.003545	0.003614	0.870232
None	0.009444	0.006629	0.032352	0.358899	0.137916	0.022939	0.000508	0.016481	0.009043	0.013563	0.005238	0.000898	0.386089
of	0.011608	0.003208	0.011886	0.518235	0.034252	0.006359	0.000214	0.010854	0.005398	0.002751	0.007775	0.000918	0.386544
it	0.010904	0.004205	0.020886	0.024101	0.087685	0.032576	0.002166	0.040607	0.039871	0.162095	0.003042	0.005090	0.566772
is	0.001415	0.003143	0.000364	0.006659	0.010063	0.012126	0.006212	0.364262	0.145302	0.251075	0.011841	0.001964	0.185574
di	0.000619	0.004604	0.000204	0.003357	0.008206	0.007003	0.032831	0.099175	0.303657	0.310718	0.025190	0.002136	0.202301
##v	0.001238	0.002466	0.000192	0.004904	0.004083	0.001398	0.001159	0.004063	0.060263	0.154217	0.013477	0.003084	0.749455
##vied	0.002743	0.000747	0.000821	0.008513	0.001648	0.003574	0.000214	0.002762	0.196348	0.084166	0.021551	0.007465	0.669448
up	0.001474	0.000367	0.000258	0.001676	0.002641	0.002451	0.000312	0.006641	0.053702	0.857858	0.013011	0.006484	0.053125
among	0.009682	0.001189	0.001267	0.014982	0.002104	0.004252	0.001986	0.005431	0.003333	0.012514	0.732453	0.019245	0.191562
anything	0.018595	0.000520	0.000381	0.000860	0.005234	0.002458	0.001136	0.000539	0.000494	0.011957	0.002642	0.112419	0.842766
.	0.005927	0.075389	0.003457	0.016955	0.004717	0.002785	0.000301	0.003947	0.000851	0.012279	0.011865	0.195843	0.665685
[SEP]	0.005272	0.002498	0.003264	0.004067	0.004709	0.001070	0.001948	0.000797	0.001133	0.001074	0.003119	0.016180	0.954868
