TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.004782	0.047967	0.016670	0.033755	0.172287	0.021826	0.023380	0.115659	0.051304	0.148168	0.081992	0.081710	0.200502
None	0.056214	0.038956	0.006919	0.052645	0.024049	0.003022	0.001359	0.001842	0.002233	0.006818	0.011997	0.041572	0.752374
of	0.107681	0.012087	0.008894	0.006314	0.018299	0.001333	0.000721	0.000190	0.000390	0.000876	0.001216	0.034417	0.807582
it	0.080216	0.004487	0.004632	0.007645	0.015998	0.001204	0.000311	0.000654	0.000753	0.001606	0.001772	0.031322	0.849402
is	0.188249	0.021853	0.006121	0.030067	0.059674	0.004306	0.003796	0.002170	0.002110	0.001899	0.002932	0.055649	0.621173
di	0.086793	0.011913	0.004354	0.015653	0.019993	0.015345	0.007758	0.002031	0.001189	0.003742	0.001611	0.113762	0.715854
##v	0.025973	0.002151	0.002614	0.012922	0.010398	0.017867	0.045200	0.003729	0.003107	0.003789	0.001159	0.027731	0.843359
##vied	0.039837	0.000385	0.000170	0.001778	0.005623	0.001447	0.000257	0.001025	0.001602	0.001831	0.000291	0.030949	0.914804
up	0.100948	0.003775	0.003567	0.011873	0.027389	0.006420	0.001619	0.007010	0.007220	0.012962	0.002002	0.089384	0.725830
among	0.030856	0.016271	0.005155	0.010627	0.010571	0.001843	0.001256	0.002588	0.005343	0.007111	0.006578	0.042831	0.858971
anything	0.065882	0.008463	0.002660	0.021902	0.018433	0.001576	0.003563	0.000920	0.001567	0.002357	0.007866	0.066812	0.798000
.	0.124799	0.032886	0.011658	0.029466	0.078362	0.012443	0.010894	0.007579	0.009870	0.025439	0.019449	0.195926	0.441231
[SEP]	0.021237	0.004423	0.005450	0.004189	0.005059	0.003540	0.002150	0.002918	0.009360	0.005185	0.006445	0.005636	0.924408
