TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.013087	0.058612	0.015690	0.079310	0.032491	0.201911	0.022288	0.012719	0.007305	0.015168	0.018601	0.418017	0.104801
None	0.096922	0.109213	0.004851	0.033995	0.033873	0.085930	0.007101	0.006282	0.002222	0.004698	0.039352	0.434541	0.141019
of	0.061595	0.145200	0.012892	0.090239	0.139195	0.079880	0.019999	0.010643	0.005877	0.013749	0.046935	0.288144	0.085652
the	0.067140	0.062305	0.010417	0.147850	0.076673	0.100903	0.014361	0.004544	0.001555	0.006816	0.018810	0.406375	0.082252
kids	0.030397	0.056854	0.044704	0.100461	0.435650	0.047887	0.022766	0.050512	0.008894	0.045404	0.011226	0.017978	0.127266
will	0.117008	0.031018	0.002720	0.060402	0.016737	0.149799	0.006217	0.003181	0.000801	0.002973	0.010418	0.385904	0.212821
be	0.112366	0.092969	0.019062	0.128230	0.110642	0.148455	0.037692	0.028239	0.009817	0.025588	0.061865	0.111988	0.113086
going	0.021710	0.060081	0.038810	0.072487	0.174783	0.050851	0.054180	0.129809	0.095175	0.128695	0.093722	0.023863	0.055834
to	0.018032	0.024316	0.013770	0.022815	0.151081	0.046000	0.041176	0.142752	0.167822	0.170765	0.077856	0.016881	0.106733
college	0.016350	0.018199	0.008431	0.018551	0.064057	0.028977	0.045803	0.119087	0.154511	0.176326	0.104307	0.017328	0.228074
yet	0.107482	0.048785	0.002727	0.045524	0.017876	0.241421	0.020009	0.008330	0.004010	0.002599	0.054468	0.335355	0.111414
.	0.067825	0.048000	0.005931	0.030200	0.008075	0.109346	0.006788	0.002955	0.001178	0.005168	0.008458	0.405201	0.300875
[SEP]	0.047816	0.037578	0.018433	0.027751	0.025655	0.041920	0.018248	0.014619	0.014282	0.034797	0.039153	0.043296	0.636452
