TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.049130	0.030225	0.006132	0.030311	0.067845	0.036795	0.023250	0.077549	0.101497	0.058160	0.023883	0.014273	0.480950
None	0.005158	0.015794	0.007289	0.012582	0.055226	0.024153	0.038797	0.120822	0.146696	0.203226	0.028763	0.002829	0.338666
of	0.002755	0.005444	0.000872	0.005304	0.056368	0.006660	0.007969	0.082753	0.080606	0.376440	0.006927	0.001035	0.366867
the	0.004322	0.011222	0.002805	0.031486	0.262977	0.011750	0.018359	0.077579	0.066720	0.200590	0.008459	0.001099	0.302631
kids	0.004086	0.003370	0.000738	0.003629	0.035834	0.002692	0.002397	0.025997	0.029874	0.194278	0.002896	0.001097	0.693113
will	0.006125	0.015584	0.007444	0.026833	0.098324	0.009927	0.041819	0.064410	0.087502	0.213348	0.061301	0.002702	0.364681
be	0.001711	0.009222	0.001590	0.003857	0.030755	0.002259	0.014112	0.119698	0.169886	0.399523	0.020761	0.000817	0.225810
going	0.000710	0.001826	0.000584	0.000621	0.012952	0.000520	0.001891	0.040372	0.085972	0.507856	0.002805	0.000391	0.343501
to	0.001464	0.002124	0.000505	0.000650	0.009766	0.001152	0.003298	0.064536	0.043023	0.463301	0.003906	0.000642	0.405632
college	0.002176	0.008220	0.003274	0.002899	0.040759	0.002164	0.001924	0.049242	0.042924	0.131991	0.001497	0.001588	0.711343
yet	0.002674	0.009427	0.002373	0.004266	0.029722	0.003954	0.016282	0.076259	0.136410	0.438281	0.025276	0.001192	0.253884
.	0.019255	0.094014	0.020411	0.044331	0.059917	0.053447	0.032208	0.045111	0.034798	0.063851	0.086379	0.010119	0.436159
[SEP]	0.010872	0.009240	0.009296	0.016554	0.018125	0.008963	0.002784	0.003008	0.001681	0.004349	0.005368	0.006703	0.903059
