TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.183040	0.014371	0.022948	0.034455	0.015485	0.029015	0.027102	0.022867	0.026071	0.018904	0.020532	0.149617	0.435591
None	0.045087	0.010843	0.181297	0.104659	0.302932	0.130214	0.010787	0.008987	0.003500	0.005517	0.009553	0.053941	0.132684
of	0.095537	0.016689	0.010473	0.051974	0.095002	0.077846	0.140681	0.061976	0.009627	0.004699	0.012220	0.059042	0.364234
the	0.129735	0.011793	0.021195	0.050190	0.148281	0.234784	0.025606	0.018004	0.003869	0.002531	0.003313	0.080313	0.270384
kids	0.099163	0.042262	0.086437	0.083856	0.026983	0.370595	0.022547	0.042079	0.032023	0.009688	0.001495	0.078136	0.104735
will	0.050810	0.001930	0.003753	0.024873	0.022307	0.057178	0.097776	0.079654	0.027401	0.046030	0.011737	0.263823	0.312727
be	0.125396	0.001224	0.020893	0.012078	0.004246	0.016679	0.015013	0.095971	0.160707	0.046454	0.015829	0.185098	0.300413
going	0.221883	0.001595	0.004105	0.008048	0.003571	0.008116	0.026525	0.006542	0.154893	0.102702	0.006750	0.135118	0.320153
to	0.259397	0.000521	0.001686	0.009397	0.010989	0.009069	0.017031	0.028556	0.005697	0.104750	0.014209	0.127226	0.411472
college	0.477701	0.001903	0.007204	0.027467	0.005332	0.003534	0.003189	0.006112	0.049824	0.022859	0.018375	0.107582	0.268917
yet	0.217702	0.000667	0.003807	0.011097	0.006677	0.009862	0.007087	0.014620	0.016977	0.338725	0.012298	0.195476	0.165004
.	0.184142	0.005667	0.008876	0.031827	0.009457	0.012555	0.005974	0.006959	0.006689	0.013327	0.025958	0.200832	0.487738
[SEP]	0.324438	0.003158	0.004599	0.009958	0.001512	0.001641	0.002149	0.000942	0.004193	0.005466	0.002687	0.032390	0.606868
