TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.097105	0.001151	0.000520	0.005076	0.000841	0.000247	0.000080	0.000010	0.000482	0.000195	0.000020	0.062078	0.832197
None	0.007809	0.000292	0.000312	0.000540	0.000316	0.000081	0.000007	0.000000	0.000005	0.000022	0.000000	0.005976	0.984639
of	0.000038	0.977702	0.011494	0.001506	0.000229	0.000269	0.000008	0.000018	0.000002	0.000004	0.000061	0.000019	0.008649
the	0.000952	0.036277	0.884569	0.018496	0.005154	0.004275	0.001000	0.000174	0.000227	0.000054	0.000278	0.000319	0.048225
kids	0.001809	0.002367	0.004967	0.807036	0.003582	0.000635	0.000721	0.000258	0.000734	0.000048	0.000012	0.000421	0.177409
will	0.000333	0.053958	0.002752	0.005270	0.912600	0.002235	0.000209	0.000669	0.000099	0.001583	0.000192	0.000034	0.020066
be	0.003558	0.004469	0.002147	0.000742	0.588902	0.301767	0.028491	0.010492	0.001739	0.040158	0.005457	0.000031	0.012047
going	0.000528	0.000104	0.000058	0.000219	0.022035	0.015969	0.923069	0.005356	0.004684	0.010370	0.001384	0.000056	0.016168
to	0.000017	0.000018	0.000007	0.000016	0.001303	0.000142	0.002077	0.980176	0.002494	0.006264	0.001479	0.000005	0.006003
college	0.000898	0.000011	0.000007	0.000802	0.001567	0.000262	0.010063	0.012769	0.482971	0.001176	0.000147	0.000470	0.488857
yet	0.000302	0.000010	0.000001	0.000005	0.000923	0.000089	0.000240	0.000145	0.000185	0.966401	0.003691	0.000608	0.027401
.	0.022309	0.001246	0.000145	0.000414	0.003147	0.000842	0.001339	0.006571	0.005918	0.112786	0.367243	0.059550	0.418491
[SEP]	0.454131	0.013164	0.013525	0.026805	0.014941	0.014095	0.021766	0.008385	0.021107	0.015046	0.005766	0.037761	0.353508
