TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.040292	0.018000	0.009140	0.021454	0.004960	0.021210	0.020221	0.007914	0.008904	0.005171	0.038056	0.030302	0.774377
None	0.127662	0.098232	0.040940	0.034354	0.014898	0.043771	0.064721	0.030259	0.034534	0.053537	0.060290	0.026272	0.370531
of	0.094040	0.093097	0.081635	0.095112	0.060484	0.048546	0.085617	0.090647	0.072552	0.083498	0.042106	0.020173	0.132492
the	0.037114	0.088888	0.084409	0.125577	0.055056	0.088597	0.146442	0.093082	0.066129	0.048685	0.093248	0.013034	0.059739
kids	0.083709	0.048022	0.039723	0.040980	0.038853	0.019029	0.040498	0.118730	0.096507	0.095409	0.015351	0.010242	0.352947
will	0.171431	0.130375	0.035232	0.051246	0.019525	0.091872	0.061239	0.020087	0.020985	0.049954	0.077194	0.047710	0.223150
be	0.197698	0.057043	0.012399	0.013065	0.007073	0.047249	0.085859	0.052881	0.042006	0.071721	0.067395	0.021238	0.324372
going	0.109431	0.029073	0.008959	0.006638	0.005188	0.015075	0.035938	0.033032	0.032182	0.089929	0.026655	0.010108	0.597794
to	0.116440	0.014548	0.004805	0.005920	0.003743	0.014043	0.034292	0.022895	0.011796	0.025094	0.018287	0.004707	0.723430
college	0.206036	0.012601	0.005816	0.006926	0.009875	0.011779	0.030288	0.025810	0.028787	0.053804	0.011072	0.009309	0.587895
yet	0.181818	0.025886	0.003201	0.005326	0.005563	0.034575	0.038828	0.014301	0.012933	0.029833	0.034517	0.009414	0.603805
.	0.083637	0.095372	0.011121	0.023242	0.004547	0.026679	0.015451	0.004650	0.005925	0.007759	0.033094	0.022964	0.665559
[SEP]	0.052246	0.002405	0.000337	0.000667	0.000504	0.000976	0.000989	0.000691	0.001196	0.002127	0.000436	0.005166	0.932262
