TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.031852	0.025483	0.005428	0.017786	0.009375	0.077029	0.029994	0.012991	0.010532	0.003087	0.009125	0.026299	0.741018
None	0.047239	0.029997	0.017920	0.059131	0.029578	0.058797	0.018509	0.024625	0.028544	0.012905	0.008110	0.068567	0.596077
of	0.046260	0.036427	0.059812	0.144839	0.092572	0.015196	0.010323	0.020465	0.051740	0.022512	0.004315	0.113311	0.382228
the	0.047700	0.054133	0.131944	0.098710	0.100713	0.035198	0.029994	0.045231	0.075085	0.043654	0.012796	0.096777	0.228065
kids	0.018465	0.016438	0.029576	0.046848	0.127051	0.021348	0.020045	0.049645	0.063517	0.044709	0.012270	0.037368	0.512723
will	0.060496	0.039036	0.021651	0.025412	0.027599	0.036876	0.033313	0.028253	0.024238	0.014945	0.013409	0.095450	0.579323
be	0.039701	0.029691	0.027089	0.035326	0.037199	0.026485	0.038106	0.062307	0.046358	0.027338	0.029769	0.041570	0.559062
going	0.015460	0.009072	0.012775	0.036172	0.204669	0.023776	0.027561	0.081945	0.080554	0.074795	0.013462	0.019498	0.400261
to	0.006161	0.004608	0.003963	0.010653	0.111406	0.008260	0.021070	0.116467	0.151013	0.068626	0.014220	0.006645	0.476907
college	0.023643	0.005153	0.004406	0.015486	0.152110	0.009183	0.011261	0.053955	0.102631	0.089236	0.021748	0.029258	0.481930
yet	0.010553	0.020061	0.006503	0.009356	0.028028	0.010828	0.027950	0.041933	0.036969	0.034812	0.027040	0.021845	0.724122
.	0.101446	0.076596	0.016673	0.073698	0.046871	0.224548	0.071401	0.026511	0.018536	0.012229	0.013809	0.062031	0.255651
[SEP]	0.012150	0.005600	0.002652	0.005258	0.003332	0.003480	0.002423	0.003910	0.004715	0.002177	0.003034	0.008051	0.943218
