TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.142599	0.008921	0.002501	0.008962	0.020702	0.093693	0.024775	0.021984	0.011149	0.024647	0.020431	0.014588	0.605047
None	0.070131	0.083236	0.014394	0.082888	0.205879	0.026003	0.028368	0.159984	0.062031	0.066728	0.045404	0.035111	0.119843
of	0.025003	0.003361	0.002961	0.051636	0.853264	0.002174	0.000894	0.000927	0.000291	0.000346	0.000342	0.009468	0.049333
the	0.010251	0.012220	0.016881	0.028830	0.775967	0.005028	0.002685	0.004764	0.003730	0.007044	0.001912	0.010035	0.120653
kids	0.012948	0.006576	0.002803	0.007618	0.035749	0.009596	0.007934	0.025573	0.028283	0.039268	0.010921	0.013883	0.798849
will	0.015145	0.018193	0.009075	0.027170	0.011787	0.007879	0.076875	0.209445	0.299345	0.175719	0.025660	0.022075	0.101631
be	0.013149	0.003981	0.000882	0.006555	0.008329	0.002443	0.013763	0.350092	0.241158	0.258095	0.010679	0.014356	0.076517
going	0.024141	0.005040	0.001163	0.001515	0.001149	0.000902	0.001645	0.004104	0.058687	0.657069	0.004682	0.015133	0.224769
to	0.007330	0.000493	0.000029	0.000117	0.000296	0.000227	0.000151	0.001352	0.002728	0.939493	0.001787	0.005160	0.040838
college	0.001845	0.001223	0.000226	0.000831	0.002668	0.001102	0.000477	0.001641	0.005058	0.004760	0.001883	0.001533	0.976753
yet	0.004174	0.003553	0.001395	0.002801	0.001371	0.002730	0.006826	0.005755	0.036850	0.056211	0.007581	0.004720	0.866034
.	0.017226	0.007226	0.005995	0.017445	0.016628	0.019678	0.009392	0.007970	0.010065	0.005823	0.013592	0.006375	0.862584
[SEP]	0.001011	0.000142	0.000218	0.000408	0.001677	0.000455	0.000238	0.000345	0.000213	0.000182	0.000392	0.000330	0.994390
