TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.014921	0.006901	0.003559	0.005605	0.004884	0.004846	0.003197	0.002316	0.001368	0.006295	0.003334	0.025759	0.917015
None	0.008102	0.002932	0.035367	0.063183	0.247586	0.111285	0.023557	0.015044	0.001676	0.009348	0.006797	0.005960	0.469162
of	0.003328	0.006163	0.013303	0.061912	0.776454	0.051990	0.015514	0.006785	0.000318	0.007754	0.001701	0.000820	0.053958
the	0.007301	0.010841	0.051832	0.021090	0.519382	0.060978	0.025557	0.019831	0.004463	0.035020	0.003824	0.005434	0.234446
kids	0.022500	0.017795	0.007077	0.058458	0.056084	0.016660	0.032330	0.086020	0.017051	0.135364	0.003320	0.022867	0.524474
will	0.009095	0.017411	0.001081	0.015942	0.026012	0.008612	0.055187	0.018201	0.045010	0.079478	0.048972	0.029662	0.645336
be	0.009579	0.003238	0.001290	0.010585	0.018504	0.004529	0.007966	0.016794	0.018391	0.202820	0.020154	0.038721	0.647428
going	0.006781	0.001768	0.000056	0.002565	0.043469	0.002068	0.008360	0.022074	0.099407	0.606406	0.001548	0.018279	0.187218
to	0.003577	0.002828	0.000246	0.002022	0.028119	0.002177	0.006523	0.027405	0.012608	0.672760	0.007457	0.013434	0.220844
college	0.021642	0.023441	0.000803	0.010460	0.020254	0.006801	0.027010	0.116671	0.032197	0.036158	0.082458	0.032765	0.589340
yet	0.007082	0.032483	0.002742	0.011802	0.018389	0.010442	0.014860	0.017078	0.039449	0.028672	0.011699	0.048612	0.756690
.	0.005705	0.011611	0.005324	0.013490	0.005413	0.001857	0.001149	0.001191	0.001567	0.004692	0.003414	0.067992	0.876595
[SEP]	0.006964	0.001544	0.001347	0.003869	0.002023	0.001456	0.001012	0.001615	0.006087	0.002094	0.007044	0.033111	0.931836
