TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.004026	0.044837	0.056854	0.209398	0.009799	0.365933	0.074234	0.016538	0.033704	0.011762	0.064080	0.096329	0.012506
None	0.000155	0.016496	0.020827	0.014863	0.018208	0.011995	0.028663	0.107019	0.056447	0.006728	0.021246	0.015786	0.681568
of	0.000180	0.009914	0.039574	0.018924	0.049921	0.003250	0.051612	0.212915	0.172877	0.042347	0.005854	0.006243	0.386389
the	0.000070	0.007401	0.035956	0.058183	0.020065	0.007490	0.028593	0.055345	0.037792	0.011583	0.005048	0.015918	0.716556
kids	0.000049	0.001237	0.009433	0.004228	0.095609	0.000575	0.009877	0.141129	0.329278	0.107006	0.000605	0.001230	0.299745
will	0.000034	0.000850	0.000474	0.001886	0.000192	0.679332	0.014753	0.004039	0.002718	0.000734	0.009974	0.032783	0.252231
be	0.000045	0.001184	0.001375	0.001212	0.010509	0.004510	0.076256	0.319960	0.281004	0.122127	0.008009	0.002776	0.171032
going	0.000002	0.000042	0.000154	0.000072	0.006032	0.000071	0.004102	0.178970	0.543600	0.249121	0.000218	0.000053	0.017563
to	0.000005	0.000039	0.000103	0.000074	0.001530	0.000065	0.001038	0.082244	0.549522	0.344582	0.000103	0.000142	0.020552
college	0.000015	0.000296	0.000415	0.000411	0.007670	0.000423	0.003568	0.080201	0.282154	0.303058	0.000303	0.001273	0.320213
yet	0.000031	0.001111	0.000789	0.000693	0.003299	0.006583	0.027066	0.127833	0.167148	0.043284	0.032405	0.005373	0.584384
.	0.000338	0.004312	0.000858	0.003296	0.000880	0.053520	0.001671	0.000529	0.000252	0.000408	0.016417	0.221736	0.695783
[SEP]	0.028713	0.029410	0.032315	0.076098	0.108822	0.050913	0.034689	0.022985	0.016051	0.030120	0.040190	0.128992	0.400703
