TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.030417	0.015330	0.006642	0.023335	0.009484	0.012142	0.004427	0.013844	0.004764	0.004138	0.001221	0.007932	0.866325
None	0.005171	0.019294	0.033075	0.174052	0.265983	0.038126	0.057472	0.022140	0.010991	0.031671	0.004095	0.001212	0.336719
of	0.003509	0.024049	0.010835	0.110251	0.349594	0.051017	0.019610	0.016803	0.008933	0.009580	0.002052	0.002174	0.391594
the	0.003143	0.007655	0.006167	0.041254	0.502661	0.037299	0.010666	0.016525	0.010470	0.012402	0.001287	0.001402	0.349069
kids	0.017755	0.012049	0.008370	0.022033	0.014806	0.056974	0.025657	0.024651	0.013351	0.010464	0.006959	0.006959	0.779972
will	0.006824	0.021593	0.003206	0.011865	0.027685	0.015044	0.163680	0.153070	0.055462	0.042883	0.002976	0.005030	0.490682
be	0.000665	0.002164	0.000114	0.001040	0.010307	0.002158	0.018775	0.180060	0.051364	0.073542	0.003773	0.003084	0.652954
going	0.002979	0.003360	0.000373	0.001912	0.007422	0.001610	0.005854	0.024260	0.099490	0.069391	0.005998	0.017730	0.759623
to	0.001646	0.002109	0.000519	0.004087	0.020450	0.000675	0.002174	0.014656	0.029609	0.533028	0.012371	0.026619	0.352057
college	0.018807	0.002514	0.000514	0.001548	0.003233	0.000674	0.000644	0.004072	0.004773	0.011687	0.005988	0.020134	0.925411
yet	0.007238	0.003223	0.000708	0.001416	0.001057	0.003001	0.001989	0.007820	0.007357	0.012987	0.002131	0.019752	0.931321
.	0.013114	0.099241	0.003943	0.006693	0.001941	0.004528	0.001108	0.003069	0.001354	0.001035	0.000867	0.161095	0.702012
[SEP]	0.005243	0.003331	0.004320	0.008345	0.012454	0.004347	0.002861	0.004408	0.006174	0.004114	0.001140	0.018014	0.925248
