TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.081547	0.066837	0.009452	0.072744	0.070410	0.051024	0.012938	0.018838	0.002304	0.002800	0.005303	0.039587	0.566217
None	0.003158	0.031548	0.005848	0.058708	0.318732	0.059165	0.051366	0.176711	0.009587	0.015495	0.056056	0.037113	0.176514
of	0.001669	0.022563	0.011800	0.070232	0.490697	0.070830	0.028111	0.064418	0.003756	0.011241	0.009871	0.011241	0.203570
the	0.007705	0.031542	0.018351	0.044479	0.297811	0.069292	0.041940	0.205356	0.019820	0.019210	0.012457	0.026231	0.205808
kids	0.007096	0.010107	0.001633	0.006417	0.039693	0.021790	0.046926	0.289351	0.056491	0.034577	0.017321	0.018238	0.450361
will	0.005687	0.007009	0.002827	0.013415	0.027148	0.012502	0.051222	0.172341	0.088176	0.024083	0.080165	0.041289	0.474137
be	0.003967	0.001854	0.000621	0.002529	0.008533	0.004833	0.008888	0.061155	0.034105	0.028680	0.085652	0.047917	0.711264
going	0.003557	0.001314	0.000287	0.000830	0.004633	0.003525	0.004254	0.027450	0.061519	0.030594	0.007639	0.019054	0.835343
to	0.006749	0.002214	0.000263	0.000754	0.002788	0.003442	0.001047	0.013432	0.008981	0.038229	0.010804	0.037805	0.873492
college	0.003511	0.001227	0.000254	0.001215	0.000505	0.001064	0.000734	0.006099	0.011139	0.009891	0.003190	0.014842	0.946328
yet	0.002522	0.001570	0.000246	0.001272	0.003024	0.005117	0.002577	0.011518	0.005791	0.006265	0.006787	0.024232	0.929078
.	0.021242	0.054153	0.013215	0.049891	0.022009	0.021275	0.004961	0.015302	0.003914	0.008664	0.008340	0.034165	0.742868
[SEP]	0.006701	0.001654	0.001648	0.003123	0.006696	0.004557	0.002396	0.003615	0.003437	0.004383	0.003096	0.005844	0.952850
