TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.004435	0.131835	0.010136	0.029190	0.026123	0.122963	0.032410	0.015377	0.014898	0.037673	0.310931	0.051593	0.212437
None	0.019817	0.100335	0.004751	0.012471	0.032073	0.013528	0.011763	0.007707	0.002990	0.009201	0.019864	0.002914	0.762587
of	0.028046	0.110293	0.013144	0.043656	0.210394	0.008131	0.014919	0.029944	0.012292	0.046111	0.009067	0.004367	0.469636
the	0.068365	0.153517	0.028324	0.153634	0.237008	0.035683	0.043873	0.038136	0.017005	0.045705	0.020058	0.018310	0.140381
kids	0.029176	0.028656	0.003067	0.009279	0.158646	0.004640	0.006863	0.019300	0.005890	0.043640	0.002553	0.003292	0.684997
will	0.036522	0.186328	0.022534	0.081669	0.020184	0.152430	0.079718	0.009907	0.006992	0.004216	0.102631	0.032928	0.263941
be	0.015750	0.046076	0.005014	0.013749	0.044394	0.009402	0.024569	0.023190	0.011787	0.021655	0.019844	0.002795	0.761773
going	0.009623	0.009169	0.001756	0.002652	0.041275	0.001287	0.003313	0.022001	0.017178	0.059647	0.005377	0.001060	0.825663
to	0.019005	0.014261	0.003957	0.005055	0.030334	0.003941	0.004283	0.027509	0.042214	0.103992	0.009585	0.002975	0.732889
college	0.011509	0.003616	0.000351	0.000854	0.009728	0.000879	0.001102	0.006621	0.004073	0.032312	0.001243	0.000955	0.926757
yet	0.008878	0.103751	0.011065	0.037114	0.044168	0.015365	0.032765	0.056007	0.041887	0.044547	0.041332	0.002229	0.560891
.	0.039032	0.105903	0.010081	0.031499	0.026679	0.117168	0.027108	0.013127	0.004983	0.016366	0.087196	0.073471	0.447388
[SEP]	0.011560	0.007724	0.001294	0.001837	0.003480	0.017392	0.002819	0.002770	0.002221	0.003662	0.004364	0.031504	0.909372
