TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.012778	0.002218	0.000377	0.000808	0.001649	0.004279	0.003845	0.000937	0.001486	0.000807	0.001807	0.097349	0.871660
None	0.022442	0.017841	0.002316	0.004803	0.011186	0.019503	0.003066	0.000787	0.000098	0.001167	0.003028	0.046284	0.867478
of	0.077130	0.136793	0.030095	0.056080	0.025295	0.021502	0.001960	0.000797	0.000114	0.001157	0.008787	0.034811	0.605480
the	0.051029	0.161520	0.094877	0.063391	0.020876	0.022750	0.003317	0.001042	0.000181	0.000821	0.008735	0.027422	0.544040
kids	0.016908	0.173999	0.179355	0.320708	0.043857	0.017440	0.003521	0.003822	0.001310	0.001108	0.004227	0.009454	0.224292
will	0.057055	0.048930	0.013512	0.035245	0.069215	0.073089	0.009368	0.005843	0.001327	0.006408	0.011424	0.041967	0.626615
be	0.019289	0.030672	0.003590	0.011044	0.037505	0.299096	0.045867	0.008460	0.001096	0.003631	0.014088	0.019356	0.506306
going	0.022445	0.021063	0.002144	0.005276	0.024601	0.306930	0.230008	0.043217	0.011790	0.015698	0.038961	0.009553	0.268315
to	0.010008	0.017670	0.001318	0.003035	0.016261	0.156959	0.228079	0.222050	0.049222	0.018278	0.030582	0.006494	0.240044
college	0.002431	0.004305	0.000277	0.000912	0.004140	0.037295	0.164187	0.299856	0.376690	0.023178	0.033398	0.002488	0.050842
yet	0.009194	0.004403	0.000245	0.002142	0.016325	0.064388	0.044628	0.028578	0.009245	0.045153	0.025945	0.017826	0.731928
.	0.015685	0.013282	0.001194	0.002482	0.003738	0.046890	0.027641	0.005135	0.001560	0.010487	0.005606	0.149206	0.717093
[SEP]	0.024943	0.007269	0.006025	0.013113	0.012148	0.008924	0.013190	0.009337	0.013463	0.012390	0.007098	0.030898	0.841203
