TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.036896	0.030363	0.011343	0.034113	0.172586	0.052146	0.012118	0.057214	0.022392	0.348933	0.086230	0.093117	0.042549
None	0.000123	0.423153	0.002877	0.000728	0.000922	0.000507	0.000654	0.000246	0.000104	0.000033	0.002961	0.000441	0.567250
of	0.000196	0.045924	0.147182	0.032254	0.026664	0.000393	0.000745	0.000758	0.000203	0.000062	0.000216	0.000160	0.745242
the	0.000113	0.006193	0.007119	0.099684	0.014347	0.000940	0.000517	0.000752	0.000148	0.000046	0.000126	0.000218	0.869797
kids	0.000029	0.000100	0.000183	0.000454	0.088599	0.000054	0.000048	0.001436	0.000492	0.002380	0.000049	0.000089	0.906087
will	0.000026	0.000423	0.000005	0.000026	0.000084	0.439734	0.011061	0.002643	0.000147	0.000058	0.011245	0.000295	0.534252
be	0.000038	0.002267	0.000122	0.000141	0.001114	0.072079	0.494374	0.026224	0.001218	0.000562	0.028664	0.000385	0.372813
going	0.000015	0.000098	0.000020	0.000023	0.002080	0.001570	0.001676	0.175088	0.030233	0.060365	0.000468	0.000152	0.728212
to	0.000035	0.000047	0.000005	0.000036	0.002632	0.000149	0.000153	0.023944	0.145601	0.159061	0.000368	0.000209	0.667760
college	0.000001	0.000000	0.000000	0.000001	0.000449	0.000002	0.000004	0.001214	0.002640	0.398947	0.000013	0.000044	0.596686
yet	0.000004	0.000303	0.000004	0.000002	0.000065	0.002548	0.002101	0.000817	0.000229	0.000544	0.861952	0.000078	0.131352
.	0.000096	0.000123	0.000008	0.000063	0.000050	0.000141	0.000108	0.000059	0.000031	0.000078	0.000225	0.012494	0.986524
[SEP]	0.003386	0.001035	0.000168	0.000828	0.001174	0.000961	0.000742	0.001170	0.000638	0.001546	0.002035	0.003937	0.982381
