TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.012206	0.021013	0.010440	0.037533	0.074887	0.307022	0.039171	0.055371	0.018174	0.084786	0.081929	0.101438	0.156029
None	0.139812	0.038588	0.000126	0.000183	0.000222	0.000012	0.000036	0.000011	0.000033	0.000020	0.001707	0.058745	0.760505
of	0.225863	0.000142	0.229539	0.002416	0.000082	0.000009	0.000011	0.000006	0.000165	0.000108	0.000007	0.050137	0.491515
the	0.120926	0.000136	0.002820	0.309857	0.000394	0.000104	0.000103	0.000102	0.000308	0.000169	0.000280	0.049900	0.514902
kids	0.090188	0.000204	0.000033	0.000443	0.093695	0.000362	0.000092	0.000681	0.000694	0.000690	0.000045	0.039421	0.773452
will	0.152311	0.000039	0.000022	0.000258	0.000622	0.133749	0.002044	0.001122	0.000154	0.000068	0.000144	0.035659	0.673808
be	0.164287	0.000118	0.000012	0.000121	0.000224	0.001165	0.056283	0.001147	0.000549	0.000036	0.000130	0.047788	0.728140
going	0.143420	0.000028	0.000009	0.000181	0.000707	0.000738	0.001169	0.127766	0.002625	0.000159	0.000021	0.015589	0.707587
to	0.130219	0.000016	0.000019	0.000111	0.000313	0.000008	0.000037	0.000181	0.383914	0.000515	0.000005	0.014414	0.470248
college	0.067912	0.000035	0.000059	0.000224	0.000952	0.000024	0.000024	0.000113	0.001061	0.205853	0.000004	0.012198	0.711540
yet	0.197146	0.003429	0.000017	0.000373	0.000073	0.000082	0.000101	0.000030	0.000054	0.000014	0.024320	0.011797	0.762565
.	0.133771	0.010593	0.002358	0.003085	0.004580	0.003983	0.002206	0.000425	0.000841	0.000359	0.001250	0.167686	0.668865
[SEP]	0.035378	0.005482	0.001172	0.002457	0.003641	0.003705	0.002931	0.003686	0.003603	0.002777	0.006879	0.043497	0.884792
