TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.099320	0.088158	0.016233	0.025635	0.231649	0.140917	0.017758	0.053040	0.053384	0.102671	0.043212	0.083610	0.044414
None	0.232120	0.018636	0.064197	0.044575	0.011315	0.011038	0.012541	0.010016	0.034958	0.003902	0.012360	0.172114	0.372226
of	0.197651	0.033446	0.253271	0.110075	0.001541	0.003379	0.007525	0.001381	0.016106	0.003571	0.003014	0.096976	0.272063
the	0.236734	0.025923	0.046312	0.266965	0.005042	0.005646	0.010823	0.002448	0.008782	0.014252	0.002402	0.095148	0.279523
kids	0.190837	0.012081	0.028506	0.048990	0.049331	0.010741	0.012410	0.018607	0.052199	0.102700	0.018356	0.056287	0.398955
will	0.234052	0.003113	0.018892	0.029965	0.003436	0.042275	0.006711	0.001720	0.007356	0.004314	0.000422	0.265720	0.382023
be	0.182672	0.003217	0.018172	0.023948	0.002888	0.024704	0.005059	0.003328	0.040798	0.004512	0.004362	0.085016	0.601323
going	0.107128	0.009458	0.046063	0.055600	0.008712	0.003649	0.007966	0.003442	0.030579	0.008756	0.003645	0.060128	0.654875
to	0.127709	0.013947	0.130022	0.079063	0.018128	0.004380	0.005342	0.008872	0.291422	0.015280	0.013264	0.073257	0.219312
college	0.154973	0.007236	0.017976	0.037856	0.033436	0.004489	0.002948	0.018938	0.122725	0.040534	0.023801	0.114681	0.420406
yet	0.141077	0.028981	0.075336	0.035760	0.006872	0.008987	0.005663	0.005407	0.021296	0.003274	0.007594	0.104784	0.554970
.	0.231027	0.031453	0.029761	0.026315	0.015108	0.023978	0.021903	0.024073	0.024058	0.029813	0.035582	0.264975	0.241953
[SEP]	0.037991	0.016375	0.005924	0.009543	0.022284	0.006337	0.005261	0.005094	0.009484	0.022173	0.028079	0.013178	0.818277
