TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.026570	0.016738	0.024158	0.024091	0.044878	0.007653	0.007822	0.005234	0.016964	0.048697	0.012270	0.032605	0.732320
None	0.007021	0.047328	0.023263	0.164414	0.600003	0.011815	0.010482	0.029915	0.011981	0.016510	0.010244	0.009604	0.057421
of	0.012350	0.039291	0.017149	0.112814	0.189322	0.023588	0.018009	0.012161	0.011351	0.009569	0.021663	0.036036	0.496696
the	0.005434	0.022539	0.005586	0.017031	0.754047	0.008130	0.005455	0.005605	0.006066	0.038006	0.008198	0.016778	0.107125
kids	0.006135	0.004583	0.005314	0.019181	0.041463	0.002846	0.001930	0.001943	0.013717	0.275298	0.009662	0.042538	0.575391
will	0.009253	0.017237	0.011671	0.024333	0.375177	0.005453	0.043069	0.058401	0.079920	0.188672	0.029570	0.014978	0.142265
be	0.026794	0.046877	0.008111	0.014973	0.324756	0.007113	0.006622	0.045115	0.029676	0.283937	0.041508	0.039692	0.124828
going	0.003560	0.001380	0.001184	0.001030	0.013557	0.000337	0.001219	0.000707	0.013641	0.920469	0.003141	0.010060	0.029715
to	0.006187	0.001887	0.000342	0.001006	0.018220	0.000242	0.000519	0.001682	0.001997	0.923410	0.002796	0.007396	0.034316
college	0.021790	0.006258	0.016623	0.017946	0.040362	0.002723	0.002800	0.009955	0.023376	0.066258	0.010828	0.051120	0.729961
yet	0.022217	0.015369	0.016570	0.024398	0.029928	0.003377	0.015570	0.041040	0.021723	0.460798	0.016749	0.045907	0.286355
.	0.015153	0.046569	0.041852	0.044759	0.042189	0.048455	0.026215	0.075360	0.034077	0.163117	0.086457	0.026778	0.349019
[SEP]	0.004647	0.005640	0.004431	0.005851	0.019457	0.003107	0.006522	0.004014	0.008661	0.015585	0.001491	0.008563	0.912032
