TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.007494	0.161345	0.024663	0.161142	0.037321	0.320440	0.054031	0.010722	0.008909	0.009071	0.062597	0.057530	0.084734
None	0.040097	0.011230	0.005939	0.039237	0.031668	0.012173	0.005450	0.001858	0.001015	0.003997	0.004355	0.003751	0.839229
of	0.060295	0.006060	0.003377	0.051453	0.072484	0.010057	0.004287	0.002894	0.001079	0.004167	0.003872	0.004071	0.775906
the	0.135787	0.004824	0.005813	0.084395	0.065440	0.017126	0.005085	0.003342	0.000942	0.005160	0.002378	0.004653	0.665056
kids	0.007195	0.001081	0.000758	0.004806	0.007679	0.001413	0.000351	0.000297	0.000136	0.000666	0.000197	0.000888	0.974533
will	0.133836	0.008672	0.006083	0.068729	0.017966	0.083802	0.022589	0.003838	0.002127	0.002603	0.009489	0.007698	0.632568
be	0.026880	0.004578	0.003036	0.016152	0.011247	0.006638	0.008231	0.003921	0.003572	0.006316	0.004400	0.001129	0.903900
going	0.002442	0.001248	0.000564	0.002689	0.002204	0.000770	0.001054	0.001013	0.001678	0.004937	0.000576	0.000361	0.980463
to	0.005476	0.001403	0.000303	0.002374	0.002683	0.001103	0.002013	0.003314	0.004885	0.022538	0.000860	0.000664	0.952384
college	0.003183	0.001639	0.000444	0.001706	0.002970	0.001142	0.000895	0.001615	0.001397	0.006116	0.000901	0.000897	0.977094
yet	0.042345	0.007183	0.001107	0.008786	0.005290	0.013493	0.013846	0.006440	0.006207	0.011751	0.011711	0.002692	0.869150
.	0.093819	0.006592	0.001332	0.020599	0.006260	0.056957	0.005696	0.001118	0.000593	0.001672	0.007828	0.029857	0.767675
[SEP]	0.002942	0.001884	0.000816	0.002413	0.001112	0.002521	0.000405	0.000190	0.000317	0.000570	0.000630	0.001728	0.984473
