TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.010439	0.029347	0.003584	0.017161	0.004280	0.030868	0.008866	0.003547	0.004004	0.005017	0.006639	0.152074	0.724173
None	0.025776	0.015787	0.004392	0.004823	0.001189	0.016953	0.003861	0.001496	0.000312	0.000999	0.008495	0.059107	0.856810
of	0.008959	0.250477	0.073728	0.038351	0.004603	0.008258	0.004932	0.003965	0.000281	0.000882	0.026833	0.003749	0.574980
the	0.034265	0.088194	0.091643	0.027904	0.004475	0.017984	0.008700	0.005054	0.001332	0.002842	0.023667	0.012766	0.681173
kids	0.042023	0.063050	0.130328	0.124515	0.019169	0.013142	0.004763	0.007276	0.001022	0.002938	0.006718	0.012588	0.572468
will	0.027079	0.044914	0.014055	0.038619	0.047857	0.055832	0.015378	0.012955	0.001966	0.005666	0.034950	0.019550	0.681180
be	0.016597	0.069494	0.008551	0.012392	0.007712	0.085807	0.043602	0.011650	0.003782	0.002454	0.047647	0.008672	0.681640
going	0.018937	0.027455	0.008443	0.007384	0.006053	0.034149	0.058580	0.015155	0.006420	0.002084	0.016573	0.011012	0.787757
to	0.023409	0.019037	0.002477	0.005970	0.023862	0.039593	0.056182	0.229337	0.034351	0.016752	0.047403	0.009476	0.492150
college	0.007562	0.004945	0.000255	0.002290	0.003410	0.007712	0.012952	0.063684	0.102807	0.036268	0.007695	0.007240	0.743179
yet	0.041019	0.056399	0.042794	0.089679	0.008333	0.019477	0.015398	0.032547	0.010682	0.033538	0.046576	0.016907	0.586649
.	0.023369	0.016453	0.002704	0.005190	0.009934	0.021774	0.012212	0.015893	0.006306	0.021856	0.108486	0.035109	0.720714
[SEP]	0.047216	0.005712	0.001108	0.006165	0.006037	0.008971	0.003251	0.004417	0.006027	0.021916	0.010500	0.090447	0.788234
