TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.063981	0.023826	0.004970	0.028948	0.039982	0.052124	0.021929	0.031090	0.010820	0.023531	0.003093	0.026184	0.669523
None	0.062063	0.009806	0.040885	0.281241	0.111757	0.104317	0.006981	0.033384	0.007466	0.046287	0.070522	0.064019	0.161271
of	0.024305	0.022470	0.006384	0.214285	0.342437	0.110980	0.025172	0.083945	0.008666	0.013250	0.001856	0.034008	0.112241
the	0.023479	0.016773	0.004854	0.016844	0.610145	0.022187	0.023494	0.069204	0.016595	0.029192	0.009282	0.022825	0.135127
kids	0.009372	0.010703	0.002656	0.012674	0.020002	0.005892	0.019830	0.009607	0.013551	0.064213	0.002122	0.018617	0.810760
will	0.020998	0.035534	0.000714	0.007727	0.052486	0.002304	0.075736	0.133069	0.134078	0.383414	0.038378	0.030680	0.084883
be	0.029660	0.025070	0.001606	0.016847	0.135608	0.013004	0.012705	0.126691	0.075901	0.299216	0.079233	0.050148	0.134310
going	0.004790	0.004576	0.000345	0.001434	0.002036	0.000583	0.003013	0.000942	0.049101	0.869196	0.001635	0.011499	0.050851
to	0.004786	0.008342	0.000139	0.000463	0.002635	0.000215	0.002383	0.003383	0.001806	0.929342	0.002328	0.010428	0.033750
college	0.005976	0.008649	0.000476	0.001247	0.051185	0.001015	0.008832	0.023571	0.039878	0.016358	0.004607	0.009939	0.828268
yet	0.019026	0.005998	0.008048	0.015254	0.044134	0.018889	0.018631	0.187375	0.097465	0.161763	0.013716	0.044983	0.364717
.	0.008177	0.030057	0.002893	0.017541	0.022893	0.081516	0.020268	0.034076	0.021964	0.013529	0.009978	0.017149	0.719960
[SEP]	0.003078	0.000653	0.000204	0.000953	0.005219	0.001018	0.000744	0.000473	0.000673	0.000765	0.000260	0.001747	0.984213
