TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.026898	0.036804	0.020009	0.034767	0.019295	0.274270	0.055914	0.011998	0.006986	0.005329	0.026353	0.036088	0.445290
None	0.005023	0.258667	0.028727	0.033108	0.030657	0.029467	0.024895	0.014438	0.018234	0.011594	0.008975	0.017037	0.519178
of	0.011078	0.039167	0.454710	0.058331	0.053562	0.081926	0.029901	0.037762	0.089421	0.010099	0.013847	0.013872	0.106323
the	0.018252	0.070661	0.084811	0.239872	0.044182	0.102697	0.056594	0.029676	0.071903	0.016601	0.014393	0.042831	0.207526
kids	0.010731	0.013195	0.025672	0.016885	0.547792	0.039389	0.030068	0.064719	0.013871	0.019428	0.010115	0.007803	0.200334
will	0.011870	0.033705	0.038909	0.039136	0.023342	0.473256	0.077905	0.023831	0.036577	0.004125	0.025480	0.026220	0.185645
be	0.006446	0.008801	0.012399	0.018506	0.013893	0.057474	0.540748	0.075218	0.115854	0.012303	0.017507	0.005776	0.115074
going	0.002406	0.003984	0.004350	0.002114	0.020201	0.006366	0.032397	0.724668	0.129353	0.038270	0.006901	0.001031	0.027959
to	0.002371	0.001288	0.003881	0.005942	0.002294	0.006702	0.013667	0.040304	0.888396	0.013824	0.003112	0.002560	0.015658
college	0.005497	0.004367	0.003339	0.003377	0.025981	0.002997	0.008030	0.070455	0.067576	0.682067	0.019789	0.003631	0.102895
yet	0.012705	0.020453	0.007060	0.005811	0.023322	0.036477	0.064011	0.049285	0.013173	0.091350	0.398581	0.011761	0.266011
.	0.023232	0.138258	0.014161	0.063029	0.014021	0.068124	0.019203	0.011210	0.012327	0.008165	0.031115	0.213237	0.383920
[SEP]	0.058975	0.101998	0.057642	0.094218	0.073617	0.082747	0.069252	0.044708	0.043583	0.042249	0.056168	0.109314	0.165529
