TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.022612	0.013864	0.007023	0.049505	0.087072	0.039015	0.039084	0.032753	0.019003	0.030368	0.006561	0.053623	0.599516
None	0.011979	0.012267	0.004896	0.027643	0.030351	0.076192	0.090613	0.252302	0.081398	0.130328	0.047662	0.130435	0.103933
of	0.007244	0.007306	0.001215	0.008255	0.008696	0.085669	0.139646	0.377659	0.118808	0.052872	0.034922	0.083977	0.073732
the	0.015683	0.012437	0.005290	0.019580	0.017711	0.066778	0.125422	0.301241	0.119003	0.092578	0.041562	0.104433	0.078281
kids	0.033440	0.025541	0.007026	0.018750	0.010001	0.030944	0.076458	0.118549	0.126430	0.077052	0.048228	0.153120	0.274460
will	0.020000	0.036301	0.008756	0.035864	0.023130	0.017112	0.019689	0.063263	0.037487	0.117312	0.125117	0.195608	0.300361
be	0.011518	0.016467	0.004604	0.009697	0.007525	0.005570	0.003184	0.019861	0.012301	0.092954	0.165534	0.176799	0.473987
going	0.011398	0.017479	0.003658	0.005611	0.004967	0.003926	0.002403	0.001896	0.004461	0.040410	0.069742	0.081624	0.752423
to	0.016906	0.038377	0.004504	0.005477	0.006890	0.004260	0.002570	0.001382	0.003527	0.055789	0.124199	0.135019	0.601099
college	0.029690	0.034888	0.003593	0.005007	0.005410	0.007670	0.003737	0.002406	0.004995	0.027539	0.048172	0.110769	0.716125
yet	0.015277	0.022805	0.002817	0.011469	0.008466	0.023791	0.013966	0.017314	0.012085	0.032660	0.069057	0.102936	0.667358
.	0.021859	0.013631	0.007087	0.024265	0.028482	0.017244	0.010615	0.006512	0.003085	0.014885	0.010582	0.063654	0.778097
[SEP]	0.015004	0.001036	0.000465	0.001478	0.001596	0.001965	0.001192	0.001411	0.001420	0.003411	0.002385	0.012042	0.956595
