TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.559053	0.014365	0.021218	0.033464	0.023321	0.019152	0.011531	0.016909	0.026712	0.024987	0.006289	0.046976	0.196022
None	0.842416	0.000206	0.005256	0.001237	0.004756	0.000032	0.000016	0.000000	0.000006	0.000000	0.000000	0.000667	0.145405
of	0.010378	0.983529	0.000802	0.000356	0.000376	0.000038	0.000045	0.000001	0.000003	0.000006	0.000000	0.000038	0.004427
the	0.030071	0.921822	0.031766	0.002167	0.003764	0.000102	0.001790	0.000073	0.000006	0.000065	0.000075	0.000790	0.007510
kids	0.341574	0.002145	0.083916	0.427144	0.006910	0.000545	0.003149	0.000451	0.000554	0.000970	0.000625	0.017567	0.114450
will	0.620657	0.002727	0.019384	0.074419	0.047906	0.012709	0.003904	0.002071	0.003755	0.002171	0.000033	0.005252	0.205013
be	0.156975	0.003276	0.018656	0.005580	0.040413	0.607231	0.007434	0.000658	0.001106	0.006032	0.000040	0.001059	0.151540
going	0.253947	0.000117	0.020540	0.006192	0.011387	0.036128	0.391898	0.005016	0.004943	0.037643	0.000944	0.013028	0.218215
to	0.112986	0.000009	0.003811	0.005012	0.001327	0.002676	0.013004	0.611459	0.007935	0.005495	0.002856	0.084333	0.149096
college	0.343180	0.000008	0.000202	0.012830	0.001747	0.000919	0.001740	0.025531	0.191048	0.010241	0.012688	0.036705	0.363159
yet	0.224431	0.000012	0.037244	0.001701	0.001072	0.044628	0.079918	0.002859	0.022321	0.116662	0.018204	0.044082	0.406865
.	0.397219	0.001766	0.003992	0.003728	0.003045	0.008277	0.022688	0.005781	0.020835	0.029490	0.140862	0.138676	0.223641
[SEP]	0.797515	0.003254	0.006793	0.011054	0.005803	0.002936	0.004487	0.002230	0.008540	0.003938	0.001090	0.046194	0.106167
