TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.611638	0.035122	0.045200	0.064047	0.014456	0.013060	0.023481	0.021408	0.021427	0.016320	0.011549	0.045144	0.077148
None	0.418494	0.003041	0.495101	0.040526	0.002190	0.018986	0.017217	0.000702	0.000085	0.000051	0.000450	0.001623	0.001534
of	0.275737	0.013149	0.011261	0.674935	0.009319	0.000550	0.000372	0.010883	0.000309	0.000071	0.000037	0.000585	0.002791
the	0.266518	0.004127	0.019436	0.036000	0.625887	0.032247	0.002388	0.001889	0.005312	0.000978	0.000030	0.000696	0.004491
kids	0.916778	0.003031	0.005826	0.025174	0.004754	0.021522	0.004367	0.000106	0.000237	0.012254	0.000004	0.000025	0.005923
will	0.070519	0.000154	0.001276	0.000727	0.000010	0.001965	0.922149	0.001905	0.000884	0.000012	0.000095	0.000235	0.000069
be	0.070921	0.000008	0.000892	0.006035	0.000243	0.000626	0.006921	0.904088	0.005641	0.001030	0.000154	0.002478	0.000964
going	0.123350	0.000038	0.000104	0.002105	0.000227	0.003667	0.033106	0.000933	0.741237	0.012036	0.000031	0.007434	0.075734
to	0.412418	0.002550	0.000283	0.000027	0.000479	0.002777	0.093289	0.003498	0.026199	0.411636	0.002943	0.005161	0.038741
college	0.873772	0.000626	0.004131	0.016136	0.000328	0.000016	0.000242	0.002356	0.001011	0.010391	0.019828	0.011636	0.059527
yet	0.566655	0.000050	0.000488	0.000730	0.000140	0.000029	0.004971	0.004601	0.010417	0.000364	0.002751	0.358631	0.050173
.	0.297541	0.000109	0.000020	0.000222	0.000348	0.000174	0.000003	0.000125	0.005032	0.001748	0.000596	0.019049	0.675032
[SEP]	0.905936	0.000981	0.000128	0.000087	0.000096	0.000060	0.000049	0.000004	0.000219	0.003177	0.000270	0.003105	0.085888
