TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.016311	0.073006	0.020905	0.042120	0.050393	0.254045	0.078057	0.109559	0.044421	0.029522	0.039620	0.062328	0.179712
None	0.041984	0.028466	0.016753	0.072880	0.025295	0.045961	0.044657	0.043505	0.017667	0.009120	0.030435	0.040888	0.582388
of	0.079235	0.050390	0.003309	0.031162	0.020302	0.045923	0.037224	0.046079	0.035398	0.029307	0.016284	0.056348	0.549039
the	0.081444	0.059903	0.009752	0.027741	0.047101	0.102301	0.054006	0.059180	0.050799	0.092738	0.028066	0.078799	0.308168
kids	0.062607	0.015385	0.003122	0.014788	0.016020	0.005288	0.003737	0.018139	0.006445	0.032323	0.001793	0.015675	0.804679
will	0.371832	0.019165	0.004148	0.013211	0.007191	0.037457	0.025336	0.006073	0.005888	0.004992	0.001393	0.234919	0.268396
be	0.178148	0.031382	0.004629	0.021488	0.013071	0.025203	0.013507	0.020816	0.017275	0.016232	0.005287	0.073000	0.579962
going	0.125961	0.018445	0.001781	0.012795	0.020309	0.003259	0.005874	0.002479	0.004952	0.036251	0.005897	0.032523	0.729472
to	0.076344	0.007539	0.000715	0.006760	0.011505	0.004666	0.005420	0.007076	0.003704	0.024780	0.016099	0.017370	0.818023
college	0.107696	0.018270	0.003332	0.041022	0.071333	0.002815	0.005252	0.014152	0.011635	0.019999	0.003570	0.019130	0.681793
yet	0.124621	0.009399	0.001694	0.007699	0.001788	0.001638	0.003676	0.011105	0.006318	0.004586	0.000042	0.024530	0.802904
.	0.143914	0.014758	0.002746	0.018046	0.006438	0.024262	0.012389	0.014600	0.005117	0.008600	0.020595	0.095325	0.633210
[SEP]	0.010955	0.002060	0.000127	0.000371	0.001490	0.001661	0.001056	0.000869	0.000998	0.001868	0.001894	0.006874	0.969779
