TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.041337	0.061733	0.024275	0.066014	0.052567	0.116911	0.061667	0.007263	0.002014	0.022551	0.085029	0.099317	0.359321
None	0.004042	0.002370	0.000575	0.002318	0.004116	0.011660	0.002315	0.000847	0.000670	0.001874	0.004177	0.006725	0.958311
of	0.001854	0.001062	0.000253	0.000833	0.002812	0.005764	0.002166	0.000914	0.000616	0.001719	0.002953	0.003008	0.976046
the	0.002134	0.001127	0.000401	0.002326	0.005212	0.004785	0.001303	0.000839	0.000469	0.002313	0.003125	0.003972	0.971993
kids	0.007787	0.010864	0.005592	0.010556	0.047641	0.018134	0.010158	0.006105	0.002176	0.005869	0.003791	0.011081	0.860246
will	0.004632	0.002734	0.000818	0.003086	0.007321	0.009762	0.003239	0.002555	0.001830	0.004435	0.006609	0.009490	0.943490
be	0.004808	0.004434	0.001368	0.003308	0.006490	0.007393	0.001906	0.002386	0.000754	0.004543	0.005882	0.006165	0.950565
going	0.001146	0.001296	0.000471	0.000874	0.002113	0.001697	0.000473	0.000556	0.000260	0.002793	0.000663	0.001183	0.986473
to	0.000645	0.001098	0.000396	0.000784	0.001990	0.001535	0.000760	0.000710	0.000551	0.002673	0.000522	0.000869	0.987467
college	0.002071	0.003145	0.001740	0.003544	0.008749	0.004507	0.003856	0.002162	0.001764	0.011476	0.001318	0.004592	0.951076
yet	0.002010	0.004713	0.000885	0.002129	0.003929	0.006315	0.001805	0.002386	0.000980	0.005815	0.004618	0.008891	0.955523
.	0.007205	0.005575	0.001966	0.007154	0.008201	0.015127	0.003060	0.002037	0.001168	0.006072	0.004834	0.012349	0.925253
[SEP]	0.051834	0.084572	0.077063	0.082368	0.092333	0.083926	0.059105	0.070659	0.063797	0.078400	0.054458	0.079871	0.121614
