TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.747431	0.027253	0.028681	0.029560	0.018092	0.014704	0.007333	0.013413	0.015681	0.013336	0.011416	0.035697	0.037402
None	0.072882	0.037683	0.088477	0.445134	0.130836	0.052409	0.093221	0.036985	0.011125	0.001657	0.011376	0.004751	0.013464
of	0.272068	0.020803	0.038657	0.121804	0.449236	0.031381	0.011247	0.013873	0.022025	0.006737	0.000807	0.001434	0.009926
the	0.113690	0.078655	0.067634	0.038045	0.189872	0.317539	0.112435	0.020588	0.027590	0.016516	0.005930	0.001376	0.010131
kids	0.675957	0.011150	0.021333	0.033296	0.038114	0.015883	0.133414	0.012323	0.006125	0.024782	0.018502	0.005061	0.004058
will	0.102868	0.005210	0.003524	0.020601	0.026541	0.016507	0.228823	0.404221	0.072235	0.021733	0.054178	0.032044	0.011515
be	0.134871	0.001271	0.000308	0.001175	0.023856	0.016042	0.009092	0.261910	0.399242	0.051737	0.046846	0.012129	0.041521
going	0.094619	0.002213	0.000369	0.000519	0.006580	0.035175	0.112223	0.023130	0.121422	0.407227	0.132870	0.018144	0.045510
to	0.123272	0.000461	0.001028	0.000461	0.000797	0.004210	0.019454	0.018459	0.033313	0.222306	0.432426	0.089116	0.054694
college	0.699418	0.000848	0.001120	0.003574	0.004837	0.000226	0.001118	0.007238	0.008984	0.027476	0.077493	0.123159	0.044508
yet	0.364311	0.001692	0.000173	0.000934	0.002348	0.000628	0.000761	0.002081	0.028359	0.023736	0.036124	0.158145	0.380708
.	0.661368	0.002315	0.000495	0.000206	0.000370	0.000930	0.000107	0.000209	0.002341	0.012550	0.023548	0.072680	0.222882
[SEP]	0.980282	0.000287	0.000412	0.000168	0.000082	0.000045	0.000025	0.000043	0.000038	0.000415	0.001523	0.004754	0.011925
