TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.056778	0.022818	0.003297	0.034562	0.043828	0.009143	0.003078	0.001316	0.000899	0.000466	0.000553	0.009963	0.813299
None	0.014271	0.049584	0.031762	0.060417	0.037983	0.085723	0.041807	0.054455	0.016571	0.002400	0.006199	0.015512	0.583318
of	0.008358	0.057684	0.028854	0.151653	0.117265	0.142820	0.049716	0.063135	0.030734	0.006056	0.006847	0.011649	0.325230
the	0.007013	0.039200	0.027439	0.118020	0.220163	0.067914	0.048141	0.072354	0.034136	0.011596	0.007170	0.007721	0.339132
kids	0.015315	0.039612	0.007881	0.030160	0.038278	0.049010	0.052193	0.097194	0.043329	0.017618	0.008587	0.019678	0.581146
will	0.009320	0.017436	0.001290	0.010550	0.024092	0.030913	0.183974	0.109444	0.028367	0.009446	0.011084	0.007854	0.556229
be	0.007094	0.017308	0.000592	0.003576	0.011863	0.018704	0.060418	0.168432	0.067272	0.020437	0.028663	0.014681	0.580960
going	0.010152	0.024703	0.000616	0.003740	0.006883	0.007236	0.020565	0.036807	0.051524	0.035921	0.021344	0.044560	0.735950
to	0.008750	0.005157	0.000068	0.000878	0.001271	0.003902	0.001010	0.018658	0.006056	0.036806	0.010375	0.026666	0.880404
college	0.015444	0.006687	0.000178	0.000883	0.001573	0.007980	0.002847	0.012495	0.008976	0.021905	0.023285	0.044922	0.852824
yet	0.014419	0.005623	0.000720	0.003885	0.004744	0.018403	0.004045	0.008773	0.004567	0.009446	0.006521	0.058792	0.860061
.	0.097751	0.048092	0.008291	0.050663	0.019255	0.030994	0.007509	0.010014	0.002844	0.001272	0.001753	0.023969	0.697593
[SEP]	0.097399	0.009078	0.001217	0.006448	0.008390	0.010930	0.004205	0.005739	0.003639	0.004748	0.003124	0.007745	0.837337
