TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.054530	0.014968	0.007871	0.025971	0.032678	0.018390	0.022425	0.031095	0.010891	0.021356	0.003516	0.019216	0.737093
None	0.008930	0.021696	0.012909	0.041273	0.030530	0.018143	0.033405	0.094798	0.081430	0.060118	0.322299	0.153743	0.120723
of	0.008184	0.019793	0.010108	0.047124	0.065014	0.018133	0.038878	0.164159	0.106930	0.054498	0.099318	0.037898	0.329963
the	0.016848	0.016947	0.011681	0.032676	0.062223	0.035970	0.042142	0.160732	0.094714	0.127045	0.073955	0.053965	0.271103
kids	0.019056	0.011214	0.007521	0.016146	0.057801	0.006011	0.015741	0.047461	0.039563	0.190392	0.019826	0.022135	0.547132
will	0.004864	0.025861	0.003375	0.010980	0.035043	0.007147	0.018073	0.047018	0.038258	0.245450	0.389259	0.039160	0.135512
be	0.004764	0.012601	0.001631	0.008600	0.019576	0.007370	0.010225	0.043621	0.026150	0.211473	0.423390	0.040392	0.190207
going	0.005895	0.010272	0.000929	0.004607	0.028838	0.004973	0.006624	0.019127	0.035888	0.427916	0.179307	0.036080	0.239543
to	0.009008	0.005525	0.000572	0.003392	0.019173	0.007716	0.005359	0.021382	0.019412	0.134995	0.084514	0.034111	0.654842
college	0.005329	0.005524	0.001002	0.003184	0.009168	0.003621	0.005917	0.011756	0.008361	0.022928	0.013069	0.009420	0.900723
yet	0.006064	0.019552	0.002075	0.005602	0.019321	0.013289	0.025752	0.037623	0.023251	0.023650	0.055107	0.021876	0.746838
.	0.016461	0.012663	0.013037	0.022109	0.033074	0.024759	0.018604	0.025231	0.016497	0.034742	0.018974	0.029322	0.734528
[SEP]	0.012731	0.000864	0.000295	0.000861	0.001988	0.001219	0.000631	0.001145	0.000950	0.001414	0.001238	0.003872	0.972789
