TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.151824	0.004524	0.001146	0.013597	0.015836	0.227423	0.019049	0.014067	0.007737	0.009985	0.020740	0.016640	0.497433
None	0.020092	0.016237	0.001651	0.032966	0.045370	0.152338	0.016415	0.016433	0.010035	0.011024	0.064345	0.022271	0.590824
of	0.014832	0.029238	0.001291	0.025998	0.043653	0.351700	0.023609	0.032182	0.011537	0.027470	0.040499	0.017922	0.380067
the	0.009583	0.025890	0.001628	0.043460	0.050069	0.671164	0.025420	0.021793	0.009648	0.014798	0.029376	0.024706	0.072467
kids	0.009853	0.015250	0.001633	0.023858	0.060261	0.046712	0.009423	0.009565	0.007853	0.036270	0.011241	0.015976	0.752106
will	0.076328	0.030535	0.004278	0.064727	0.044478	0.317701	0.037258	0.018891	0.019522	0.021848	0.035408	0.117844	0.211182
be	0.027458	0.030888	0.002131	0.033710	0.031094	0.205902	0.028619	0.022324	0.015664	0.024940	0.142421	0.032769	0.402080
going	0.014359	0.019010	0.001916	0.022133	0.042273	0.045542	0.027255	0.023629	0.032027	0.050515	0.087312	0.021027	0.613002
to	0.010543	0.012864	0.001666	0.014828	0.021926	0.012956	0.024148	0.020102	0.015321	0.034321	0.035975	0.008536	0.786815
college	0.005022	0.010885	0.001295	0.009245	0.025684	0.008394	0.005681	0.006211	0.006384	0.027902	0.006200	0.011619	0.875477
yet	0.045826	0.037814	0.001043	0.039164	0.021094	0.546284	0.032813	0.018280	0.008189	0.005645	0.018648	0.053351	0.171848
.	0.018137	0.034563	0.002554	0.046286	0.035768	0.395472	0.035770	0.022430	0.008244	0.013447	0.099797	0.023625	0.263907
[SEP]	0.029098	0.013092	0.007247	0.014761	0.020785	0.063525	0.018374	0.009239	0.003360	0.017150	0.006675	0.013112	0.783582
