TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.400048	0.005499	0.014933	0.011818	0.021307	0.015809	0.006529	0.011064	0.017795	0.014316	0.010628	0.050203	0.420052
None	0.043232	0.008464	0.096397	0.049042	0.039975	0.066101	0.031396	0.041616	0.011992	0.002231	0.496261	0.027668	0.085626
of	0.194672	0.032544	0.016012	0.051972	0.032051	0.026762	0.019191	0.026783	0.021328	0.040901	0.064702	0.046333	0.426749
the	0.094487	0.026964	0.033342	0.037644	0.158903	0.075673	0.041056	0.071184	0.037083	0.069015	0.077696	0.033743	0.243210
kids	0.051256	0.014590	0.011349	0.037827	0.068896	0.012439	0.039980	0.023323	0.022063	0.562196	0.061545	0.038130	0.056405
will	0.005575	0.247530	0.010972	0.015852	0.120209	0.027716	0.109305	0.045615	0.011022	0.081048	0.307008	0.003076	0.015071
be	0.021521	0.154017	0.018878	0.018446	0.064236	0.016888	0.010813	0.052120	0.012552	0.101017	0.467014	0.014339	0.048159
going	0.016665	0.139032	0.008891	0.009465	0.038737	0.014604	0.060039	0.010569	0.007730	0.541038	0.113196	0.005547	0.034488
to	0.130807	0.036892	0.014623	0.034884	0.080738	0.026121	0.033012	0.036240	0.018264	0.213678	0.061460	0.053444	0.259836
college	0.196743	0.015183	0.010064	0.021204	0.149850	0.010089	0.020696	0.030178	0.026756	0.159574	0.044075	0.062362	0.253225
yet	0.145858	0.114365	0.062677	0.054145	0.049929	0.048718	0.097027	0.046133	0.018461	0.019408	0.040815	0.045982	0.256481
.	0.262960	0.011176	0.048376	0.025354	0.020032	0.026773	0.010065	0.006954	0.026780	0.010425	0.020730	0.072078	0.458297
[SEP]	0.587816	0.000130	0.002375	0.002046	0.000438	0.000551	0.000148	0.000173	0.001469	0.000979	0.000206	0.139606	0.264063
