TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.717342	0.017801	0.019675	0.008685	0.010935	0.034167	0.010105	0.015998	0.028466	0.013786	0.020268	0.011138	0.091633
None	0.780137	0.138393	0.005302	0.001784	0.002252	0.008000	0.005466	0.016284	0.008387	0.002652	0.020973	0.003884	0.006485
of	0.499800	0.045543	0.007465	0.017113	0.012487	0.039145	0.037777	0.049617	0.054161	0.040030	0.099045	0.033902	0.063917
the	0.473387	0.059696	0.028576	0.022296	0.030292	0.036456	0.032209	0.059104	0.047252	0.087359	0.042393	0.051814	0.029167
kids	0.274409	0.016943	0.010282	0.006141	0.462810	0.010529	0.011194	0.029213	0.010117	0.081303	0.037451	0.006026	0.043581
will	0.357949	0.038584	0.012304	0.007582	0.007471	0.346473	0.098687	0.039268	0.021063	0.005008	0.029636	0.010771	0.025204
be	0.602772	0.109489	0.010544	0.011369	0.011462	0.084243	0.056666	0.026454	0.019099	0.008644	0.029063	0.008295	0.021899
going	0.385318	0.062586	0.010882	0.010205	0.022599	0.058732	0.025947	0.315638	0.012100	0.018523	0.040864	0.012078	0.024527
to	0.598175	0.106937	0.024457	0.021245	0.013096	0.052323	0.041564	0.037545	0.027853	0.020566	0.028065	0.014173	0.014001
college	0.120540	0.044048	0.008850	0.026807	0.083446	0.033792	0.014652	0.019418	0.010948	0.570571	0.028011	0.012179	0.026737
yet	0.687667	0.114837	0.023141	0.006687	0.016555	0.030467	0.021448	0.011040	0.007342	0.003618	0.061836	0.006364	0.009000
.	0.632434	0.108071	0.018666	0.021847	0.011266	0.056823	0.032836	0.020876	0.022056	0.014906	0.036271	0.006805	0.017144
[SEP]	0.764254	0.048988	0.058009	0.023217	0.006357	0.036331	0.020570	0.007785	0.005473	0.001423	0.008436	0.003064	0.016093
