TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.095360	0.003921	0.001233	0.005600	0.015172	0.383319	0.013670	0.009363	0.003424	0.007292	0.007396	0.059566	0.394683
None	0.034274	0.002462	0.002690	0.009173	0.001477	0.000984	0.003172	0.003065	0.010791	0.014880	0.002368	0.210144	0.704522
of	0.024996	0.001575	0.000523	0.005292	0.001491	0.000455	0.001397	0.001540	0.002296	0.003414	0.001335	0.100792	0.854893
the	0.110718	0.010388	0.005863	0.019553	0.007860	0.002185	0.007508	0.005176	0.017905	0.022891	0.013830	0.106213	0.669910
kids	0.202327	0.005438	0.001648	0.029705	0.029420	0.000191	0.000310	0.003463	0.007849	0.451782	0.001161	0.026178	0.240528
will	0.210926	0.023897	0.006072	0.006832	0.014394	0.434068	0.075763	0.010794	0.004837	0.006980	0.076067	0.073223	0.056148
be	0.035733	0.000636	0.000429	0.001613	0.000797	0.000632	0.000880	0.006643	0.005815	0.005932	0.001656	0.051096	0.888139
going	0.083059	0.000832	0.000802	0.003296	0.000735	0.000224	0.000807	0.000968	0.003575	0.011045	0.001172	0.050406	0.843079
to	0.045713	0.000694	0.001814	0.005427	0.003281	0.000502	0.002177	0.007873	0.006357	0.014267	0.001211	0.063325	0.847359
college	0.109270	0.009787	0.004567	0.043580	0.037821	0.000920	0.003220	0.065000	0.032212	0.050476	0.012219	0.061029	0.569899
yet	0.018311	0.000146	0.000554	0.001677	0.000460	0.000110	0.000105	0.001718	0.002248	0.003615	0.000040	0.078449	0.892566
.	0.084383	0.004610	0.003095	0.017757	0.005294	0.012641	0.006000	0.004189	0.011127	0.002616	0.003141	0.285018	0.560130
[SEP]	0.009650	0.006526	0.001973	0.003605	0.004458	0.001697	0.003143	0.003211	0.004026	0.007624	0.002580	0.022336	0.929171
