TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.029275	0.007175	0.003125	0.011515	0.022067	0.033105	0.003556	0.001478	0.000688	0.001845	0.000804	0.005593	0.879775
None	0.025636	0.012953	0.016185	0.086576	0.085427	0.331787	0.066172	0.022434	0.004654	0.008751	0.007734	0.017011	0.314680
of	0.019462	0.066830	0.007221	0.283997	0.066145	0.408866	0.034866	0.013660	0.002036	0.002531	0.004164	0.010249	0.079974
the	0.045356	0.015159	0.005672	0.015157	0.152097	0.413903	0.073475	0.023354	0.008071	0.006824	0.027394	0.017904	0.195633
kids	0.050638	0.004922	0.003151	0.021910	0.034640	0.126863	0.099001	0.128990	0.052449	0.035320	0.041560	0.026038	0.374519
will	0.024448	0.010052	0.000962	0.006119	0.036848	0.031353	0.164253	0.290199	0.045843	0.089762	0.056924	0.034204	0.209034
be	0.013155	0.004887	0.000242	0.002664	0.027432	0.010843	0.019929	0.377651	0.128261	0.117753	0.019499	0.045318	0.232365
going	0.018447	0.000724	0.000149	0.000754	0.010762	0.003899	0.010921	0.043209	0.204380	0.292759	0.078988	0.038211	0.296798
to	0.071944	0.001064	0.000099	0.001663	0.012196	0.003484	0.006318	0.041114	0.018860	0.171853	0.064450	0.139219	0.467735
college	0.022303	0.001210	0.000392	0.001116	0.003316	0.005379	0.004398	0.011415	0.038066	0.038455	0.272550	0.095332	0.506068
yet	0.006778	0.000681	0.000331	0.000785	0.002068	0.002916	0.003084	0.008426	0.021351	0.015478	0.011314	0.235063	0.691726
.	0.017221	0.005497	0.001382	0.004533	0.004447	0.005124	0.001347	0.001024	0.001143	0.002994	0.003674	0.045262	0.906353
[SEP]	0.008979	0.005637	0.003556	0.007930	0.010680	0.005900	0.002666	0.003871	0.006100	0.005067	0.003728	0.032611	0.903275
