TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.017146	0.006403	0.002003	0.002756	0.005266	0.009253	0.001992	0.004642	0.000802	0.002230	0.016833	0.016354	0.914320
None	0.015414	0.033708	0.005891	0.009486	0.011161	0.018070	0.005914	0.006564	0.002439	0.007823	0.024729	0.032617	0.826183
of	0.068816	0.040920	0.006933	0.032811	0.022155	0.049057	0.009823	0.010060	0.002558	0.009597	0.012128	0.069543	0.665598
the	0.073052	0.049259	0.017678	0.065202	0.040244	0.056317	0.012358	0.009285	0.002510	0.005364	0.007211	0.049695	0.611825
kids	0.016460	0.085049	0.054123	0.048232	0.026424	0.022874	0.008279	0.012149	0.005081	0.003234	0.007957	0.022673	0.687464
will	0.046924	0.204293	0.025702	0.047058	0.023078	0.030317	0.015326	0.009067	0.002168	0.010044	0.019255	0.050541	0.516227
be	0.021939	0.427967	0.016564	0.019015	0.016273	0.062769	0.015264	0.007295	0.000919	0.006228	0.037375	0.026875	0.341518
going	0.024760	0.217782	0.012731	0.019561	0.023670	0.082718	0.044683	0.014232	0.004588	0.008956	0.046975	0.020886	0.478461
to	0.020661	0.259730	0.012281	0.012968	0.018393	0.083411	0.062490	0.018168	0.003961	0.011591	0.047696	0.015333	0.433316
college	0.010420	0.223330	0.007253	0.008898	0.024450	0.088191	0.089824	0.062477	0.045002	0.024520	0.097396	0.023707	0.294531
yet	0.029749	0.238640	0.006178	0.017159	0.023464	0.122530	0.088527	0.037883	0.011595	0.046429	0.089129	0.039400	0.249316
.	0.013419	0.055216	0.005911	0.015158	0.024854	0.098687	0.033241	0.028539	0.009577	0.028769	0.145630	0.066743	0.474256
[SEP]	0.008172	0.009086	0.000965	0.002562	0.002609	0.005957	0.004372	0.003619	0.004193	0.002297	0.003740	0.005603	0.946826
