TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.573263	0.015371	0.017631	0.023148	0.028266	0.024503	0.018139	0.023468	0.020974	0.008364	0.008266	0.068900	0.169708
None	0.734732	0.000983	0.001636	0.007017	0.001268	0.007351	0.003976	0.008450	0.003404	0.000226	0.002932	0.036084	0.191941
of	0.815421	0.001221	0.001001	0.003584	0.007876	0.007198	0.002641	0.005439	0.002900	0.000961	0.001237	0.014074	0.136447
the	0.564432	0.014822	0.014173	0.020701	0.032089	0.065153	0.019729	0.020491	0.027217	0.005912	0.011280	0.064146	0.139855
kids	0.087534	0.005822	0.019126	0.059246	0.024670	0.012159	0.004413	0.098667	0.046795	0.372452	0.001584	0.039642	0.227889
will	0.565917	0.003019	0.006864	0.023186	0.007373	0.036383	0.018522	0.034647	0.017127	0.007424	0.011175	0.050500	0.217862
be	0.617311	0.001198	0.003417	0.012421	0.011016	0.117110	0.000702	0.022682	0.008559	0.001461	0.002112	0.020994	0.181017
going	0.322096	0.000864	0.014723	0.024021	0.012531	0.138157	0.030418	0.072779	0.026617	0.085101	0.013211	0.046363	0.213121
to	0.550146	0.005268	0.010104	0.022293	0.024388	0.042293	0.037213	0.078183	0.010497	0.050978	0.003761	0.031251	0.133626
college	0.025039	0.000661	0.003558	0.010712	0.724583	0.003600	0.001825	0.007330	0.021483	0.012260	0.001126	0.007198	0.180626
yet	0.793891	0.001555	0.001338	0.003959	0.000604	0.018038	0.009150	0.004548	0.001925	0.006551	0.000933	0.015723	0.141785
.	0.751480	0.005721	0.004396	0.009446	0.005639	0.014445	0.008255	0.009295	0.007013	0.002036	0.001630	0.029212	0.151433
[SEP]	0.794942	0.002683	0.003618	0.007898	0.009093	0.008637	0.006118	0.001637	0.002879	0.006829	0.000918	0.037196	0.117550
