TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.058231	0.019527	0.001411	0.008335	0.003029	0.006993	0.007325	0.002430	0.003254	0.006546	0.003470	0.027206	0.852243
None	0.122705	0.007276	0.008071	0.090536	0.407088	0.149026	0.037655	0.051461	0.003159	0.032349	0.021783	0.048886	0.020007
of	0.253157	0.011934	0.005706	0.040878	0.202536	0.330484	0.013479	0.017941	0.002436	0.007966	0.011888	0.028890	0.072705
the	0.169079	0.014448	0.007255	0.012561	0.423779	0.209530	0.013506	0.012298	0.009075	0.014749	0.014985	0.015168	0.083566
kids	0.084244	0.008740	0.001191	0.009561	0.014882	0.035806	0.092378	0.108036	0.062003	0.100506	0.032545	0.040136	0.409973
will	0.041484	0.001504	0.000964	0.012397	0.010681	0.016945	0.114292	0.202520	0.151381	0.221863	0.098186	0.058892	0.068889
be	0.040148	0.000629	0.000161	0.002025	0.005338	0.010272	0.019855	0.354592	0.161352	0.251685	0.038246	0.072265	0.043433
going	0.006634	0.000063	0.000008	0.000112	0.000739	0.001257	0.010612	0.007182	0.084278	0.849571	0.008548	0.015699	0.015297
to	0.006634	0.000081	0.000007	0.000026	0.000482	0.000861	0.002615	0.002399	0.006327	0.929866	0.012134	0.024051	0.014517
college	0.024659	0.000232	0.000060	0.001261	0.000537	0.001224	0.001758	0.004881	0.029460	0.010199	0.095437	0.143982	0.686310
yet	0.016502	0.000237	0.000021	0.000636	0.000476	0.001018	0.000361	0.001132	0.013247	0.009403	0.026080	0.149600	0.781289
.	0.040239	0.005461	0.000859	0.003458	0.001310	0.003619	0.001716	0.001572	0.003285	0.004566	0.006771	0.039969	0.887178
[SEP]	0.008172	0.001383	0.000559	0.001614	0.000617	0.001619	0.001445	0.001304	0.004563	0.003176	0.002826	0.010591	0.962132
