TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.086296	0.062991	0.005024	0.018000	0.009202	0.054033	0.014710	0.023277	0.011273	0.007542	0.011841	0.018227	0.677585
None	0.005548	0.114702	0.010522	0.014072	0.005932	0.065578	0.070920	0.182134	0.082362	0.015202	0.130955	0.027681	0.274392
of	0.004085	0.166737	0.009130	0.023035	0.014519	0.052526	0.028226	0.179529	0.058930	0.013240	0.047922	0.035967	0.366153
the	0.005790	0.107735	0.012652	0.023002	0.023174	0.033574	0.020391	0.061584	0.031265	0.011580	0.019955	0.058900	0.590398
kids	0.005095	0.020520	0.008718	0.008518	0.019345	0.009192	0.005652	0.045717	0.015343	0.013521	0.003457	0.048428	0.796495
will	0.004600	0.337691	0.005936	0.012973	0.009536	0.023943	0.058424	0.059192	0.028206	0.025545	0.183066	0.033383	0.217504
be	0.005745	0.109338	0.003384	0.008452	0.008733	0.011573	0.023010	0.093044	0.085420	0.114554	0.204376	0.028064	0.304307
going	0.012927	0.040803	0.006226	0.008585	0.025405	0.011568	0.009731	0.041082	0.058136	0.128438	0.063407	0.031318	0.562373
to	0.011355	0.010960	0.000865	0.001977	0.007832	0.001732	0.000675	0.015239	0.006156	0.202316	0.025000	0.006587	0.709307
college	0.009010	0.007648	0.001651	0.002088	0.009482	0.003424	0.001018	0.007410	0.003948	0.015079	0.002770	0.016155	0.920315
yet	0.015249	0.046733	0.002162	0.003772	0.008597	0.056220	0.078400	0.107442	0.098480	0.044933	0.016548	0.003369	0.518095
.	0.102322	0.171589	0.010360	0.017362	0.011240	0.037455	0.014396	0.029871	0.018220	0.027250	0.014465	0.011015	0.534454
[SEP]	0.010981	0.004698	0.001370	0.002873	0.003210	0.003091	0.001363	0.004053	0.002858	0.002456	0.001138	0.003571	0.958339
