TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.015782	0.018850	0.003472	0.009043	0.017703	0.005608	0.004864	0.011122	0.020125	0.019562	0.007877	0.048080	0.817911
None	0.032454	0.026773	0.006515	0.018179	0.007012	0.002864	0.001341	0.000267	0.000245	0.000395	0.000125	0.076812	0.827017
of	0.014265	0.801050	0.006086	0.023855	0.005919	0.000342	0.000111	0.000114	0.000014	0.000044	0.000278	0.010403	0.137518
the	0.015542	0.476308	0.158850	0.030842	0.036933	0.002310	0.001058	0.000533	0.000431	0.000636	0.000920	0.028874	0.246763
kids	0.017970	0.040704	0.033048	0.055274	0.012824	0.006229	0.003144	0.001398	0.011511	0.001891	0.000283	0.005457	0.810268
will	0.010809	0.095074	0.070586	0.058384	0.022356	0.023522	0.007115	0.000337	0.007517	0.000677	0.005380	0.014374	0.683871
be	0.013464	0.018382	0.032067	0.036322	0.073932	0.034254	0.011459	0.005053	0.008441	0.003590	0.006981	0.007869	0.748186
going	0.022730	0.030750	0.007131	0.024335	0.070437	0.047110	0.037275	0.006028	0.039125	0.014681	0.003213	0.011931	0.685252
to	0.012420	0.004738	0.000778	0.002274	0.060436	0.019989	0.076604	0.399299	0.044385	0.210070	0.004718	0.006560	0.157730
college	0.035570	0.002999	0.001005	0.010117	0.034239	0.011038	0.010443	0.047432	0.025260	0.030515	0.006613	0.010656	0.774113
yet	0.009066	0.002313	0.000217	0.003071	0.000741	0.035267	0.046188	0.013311	0.038738	0.017138	0.014089	0.011696	0.808167
.	0.025781	0.009389	0.000587	0.004404	0.009106	0.024653	0.006252	0.008709	0.004454	0.040351	0.025936	0.132228	0.708149
[SEP]	0.024609	0.004867	0.002887	0.005994	0.003301	0.003509	0.002577	0.001277	0.012832	0.002722	0.000830	0.037811	0.896783
