TOKEN	[CLS]	None	of	the	kids	will	be	going	to	college	yet	.	[SEP]
[CLS]	0.054243	0.001298	0.002013	0.005341	0.001426	0.004030	0.002350	0.002229	0.004701	0.002463	0.001625	0.014084	0.904198
None	0.006736	0.004536	0.004424	0.008886	0.003143	0.002070	0.000458	0.000236	0.000350	0.000558	0.000152	0.008581	0.959870
of	0.004087	0.228726	0.045879	0.054702	0.038220	0.001561	0.000493	0.001128	0.000079	0.001746	0.004207	0.018386	0.600786
the	0.006157	0.070423	0.106642	0.035798	0.012323	0.011887	0.007332	0.004727	0.001542	0.001485	0.001571	0.037030	0.703082
kids	0.023621	0.019091	0.040859	0.049029	0.008843	0.017673	0.006681	0.003984	0.002550	0.000284	0.000160	0.007808	0.819418
will	0.014813	0.014535	0.020299	0.022125	0.031541	0.033942	0.005704	0.002631	0.000899	0.001076	0.001039	0.013608	0.837790
be	0.004628	0.006722	0.004586	0.007221	0.018630	0.301579	0.052841	0.013231	0.006017	0.003569	0.007882	0.013254	0.559840
going	0.016790	0.007942	0.005394	0.006272	0.013231	0.041648	0.043967	0.019236	0.011615	0.003361	0.004459	0.015143	0.810942
to	0.007846	0.004682	0.000579	0.002686	0.005491	0.010178	0.040102	0.355673	0.039917	0.028030	0.007469	0.009624	0.487723
college	0.012814	0.001663	0.000198	0.001303	0.009139	0.007514	0.017711	0.025967	0.058043	0.024336	0.011983	0.009497	0.819832
yet	0.016402	0.000289	0.000657	0.001034	0.000954	0.005386	0.003086	0.000823	0.001900	0.004090	0.000505	0.020865	0.944010
.	0.037782	0.001880	0.002599	0.003105	0.001481	0.004300	0.004086	0.001323	0.006494	0.003263	0.007127	0.130958	0.795600
[SEP]	0.132294	0.002422	0.004173	0.010035	0.002735	0.005094	0.002933	0.002168	0.006394	0.002639	0.000828	0.020911	0.807374
